YTM	VEGA	DELTA_EXCHANGE_NPV	POSITIONID	STRIKE_REF_SPOT	DELTA_FACTOR	GAMMA	RHO_FACTOR	DELTA	RHO	BPV	REF_DATE	PVBP	GAMMA_FACTOR	SSL_SNAPSHOT_DATE	ANALYTICDATE	THETA	SSL_FEID	VEGA_FACTOR	DELTA_EXCHANGE_LIAB	RISK_NATURE	DELTA_EXCHANGE_CASH	CURRENCY	STEP_LABEL	POSITIONID_FE	STRIKE_REF_VALUE	STRIKE_UNDERLYING	F_DELTA_EXCHANGE	STRIKE_INSTR_VALUE	VOLATILITY	THETA_FACTOR	SSL_COUNTER	RHO1
			RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Sogou | XNYS | Reuters Elektron_e9786072-3608-11ea-221c-d74f383f2d96_TBRX			0.0000000000		0.0000000000	0.0000000000		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					USD	 	RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Sogou | XNYS | Reuters Elektron							1.0000000000	0.0000000000
			RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Masonite International | XNYS | Reuters Elektron_f49f9dd3-00a0-11ea-df70-ef7e106750b0_TBRX			0.0000000000		0.0000000000	0.0000000000		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					USD	 	RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Masonite International | XNYS | Reuters Elektron							1.0000000000	0.0000000000
			RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Redfin | XNAS | Reuters Elektron_f5dd7291-1b6c-11ea-2954-839c95c768b4_TBRX			0.0000000000		0.0000000000	0.0000000000		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					USD	 	RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Redfin | XNAS | Reuters Elektron							1.0000000000	0.0000000000
			RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Fastly | XNYS | Reuters Elektron_f833e98d-2d70-11ea-f47a-e4f7cfc1999a_TBRX			0.0000000000		0.0000000000	0.0000000000		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					USD	 	RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Fastly | XNYS | Reuters Elektron							1.0000000000	0.0000000000
			RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Heartland Financial USA | XNAS | Reuters Elektron_fbfc409b-41da-11ea-79f4-715c8bd7d1b8_TBRX			0.0000000000		0.0000000000	0.0000000000		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					USD	 	RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Heartland Financial USA | XNAS | Reuters Elektron							1.0000000000	0.0000000000
			RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Credit Acceptance Corp | XNAS | Reuters Elektron_fcebbbd8-443e-11ea-307b-372274b1d9ae_TBRX			0.0000000000		0.0000000000	0.0000000000		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					USD	 	RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Credit Acceptance Corp | XNAS | Reuters Elektron							1.0000000000	0.0000000000
	15242.7057130699		AA | EUR | Equities | Options | Call | SD3E JULY27 CALL 1710 OTC EPSILON JUL27 | 14 JUL 27 | C | E | 1710.0000000000 | None | OTC Derivatives_094503f8-d242-11ea-bd10-a0ea0a2aaa8e_TBRX			9.4322305204		32616.9205761363	182633.0954805064		20200831			30200831.0000000000	20200831	2019.5748637266	TBRX					EUR	 	AA | EUR | Equities | Options | Call | SD3E JULY27 CALL 1710 OTC EPSILON JUL27 | 14 JUL 27 | C | E | 1710.0000000000 | None | OTC Derivatives							1.0000000000	-1621.8841322883
	235.2203845628		AA | EUR | Equities | Options | Put | OPT_SD3E SEP22 PATM - 3869 | 12 SEP 22 | P | E | 1767.5100000000 | XXXX | Internal_0d9ad79a-946a-11ea-acc0-ae1e7a3cf5d9_TBRX			0.4200237713		-5966.1574279633	-15771.4740720282		20200831			30200831.0000000000	20200831	-480.3655190707	TBRX					EUR	 	AA | EUR | Equities | Options | Put | OPT_SD3E SEP22 PATM - 3869 | 12 SEP 22 | P | E | 1767.5100000000 | XXXX | Internal							1.0000000000	160.5478210390
			AA | EUR | Equities | Miscellaneous | Combined Instruments | EPC SD3E MAY25 BDT | ETLX | EuroTLX Equities_34185f4e-1f2e-11e9-a2d0-b3645e528b7a_TBRX			0.0000000000		0.0000000000	0.0000000000		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					EUR	 	AA | EUR | Equities | Miscellaneous | Combined Instruments | EPC SD3E MAY25 BDT | ETLX | EuroTLX Equities							1.0000000000	0.0000000000
			AA | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SD3E JUL24 BDT | ETLX | EuroTLX Equities_341f3396-1f2e-11e9-a2d0-b3645e528b7a_TBRX			0.0000000000		0.0000000000	0.0000000000		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					EUR	 	AA | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SD3E JUL24 BDT | ETLX | EuroTLX Equities							1.0000000000	0.0000000000
			AA | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SD3E JAN22 BDT | ETLX | EuroTLX Equities_342ecb26-1f2e-11e9-a2d0-b3645e528b7a_TBRX			0.0000000000		0.0000000000	0.0000000000		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					EUR	 	AA | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SD3E JAN22 BDT | ETLX | EuroTLX Equities							1.0000000000	0.0000000000
			AA | EUR | Equities | Miscellaneous | Combined Instruments | EPC SD3E OCT25 BDT | ETLX | EuroTLX Equities_343fcfca-1f2e-11e9-a2d0-b3645e528b7a_TBRX			0.0000000000		0.0000000000	0.0000000000		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					EUR	 	AA | EUR | Equities | Miscellaneous | Combined Instruments | EPC SD3E OCT25 BDT | ETLX | EuroTLX Equities							1.0000000000	0.0000000000
	-10935.1672018178		AA | EUR | Equities | Options | Put | OPT_SD3E NOV21 P90 - 3605 | 23 NOV 21 | P | E | 1743.9660000000 | XXXX | Internal_372ff4ba-b093-11ea-bdb0-f7127f36688c_TBRX			-31.3772922055		426876.1264185787	664643.9193544077		20200831			30200831.0000000000	20200831	34463.4383330301	TBRX					EUR	 	AA | EUR | Equities | Options | Put | OPT_SD3E NOV21 P90 - 3605 | 23 NOV 21 | P | E | 1743.9660000000 | XXXX | Internal							1.0000000000	-6723.0498782800
			AA | EUR | Equities | Futures | Financial Futures | FDAX 202009 | SEP 20 | XEUR | Eurex NTA_4997833e-254c-11ea-af50-2dba816f6810_TBRX			0.0000000000		-35784.5469605157	-1961.3343965431		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					EUR	 	AA | EUR | Equities | Futures | Financial Futures | FDAX 202009 | SEP 20 | XEUR | Eurex NTA							1.0000000000	19.6079172166
