ISS_NUMOUT	INSTRUMENTID_FE	ISS_PRICE	UNDERLYINGID	MKT_TRDCLAUSE	MKT_SETTL_CONV	F_TAX_CREDIT	MKT_SETTL_TYPE	ORIGINAL_CURRENCY	RIC3	RIC1	RIC2	RIC0	ISSUERID	MKT_SETTL_PAYSHIFT	FIID	MKT_SETTLRULE	GUARANTOR	LOTSIZE1	LOTSIZE0	MARKET	CURRENCY	F_GUARANTED	SSL_SNAPSHOT_DATE	ISIN	DESCRIPTION	QUOTATION	ISS_NUM	F_QPERCENTAGE	UNDERLYINGID_FE	LEADMANAGER	ISS_DATE	SENIORITY	F_QDIRTY	SSL_FEID	SECURITY_DEATH	F_DIVIDEND_GEN_MODE	REF_DATE	CLEARING_CENTER_NAME
	MERCK		L_S_efa38f80-1f2a-11e9-a2d0-b3645e528b7a_MERCK_TBRX				Cash						MERCK_TBRX		L_S_efa38f80-1f2a-11e9-a2d0-b3645e528b7a_MERCK_TBRX				1.0000000000	 	EUR		30200831.0000000000	DE0006599905	MERCK		0		MERCK		20170707		0	TBRX			20200831	
	INTRCTNTL EXCHNG		L_S_5ac9560c-1f2e-11e9-a2d0-b3645e528b7a_INTRCTNTL EXCHNG_TBRX				Cash						0C2005_TBRX		L_S_5ac9560c-1f2e-11e9-a2d0-b3645e528b7a_INTRCTNTL EXCHNG_TBRX				1.0000000000	 	USD		30200831.0000000000	US45866F1049	INTERCONTINENTA		0		INTRCTNTL EXCHNG		20180118		0	TBRX			20200831	
	AMERIPRISE FINCL		L_S_5aa5b47c-1f2e-11e9-a2d0-b3645e528b7a_AMERIPRISE FINCL_TBRX				Cash						0C7854_TBRX		L_S_5aa5b47c-1f2e-11e9-a2d0-b3645e528b7a_AMERIPRISE FINCL_TBRX				1.0000000000	 	USD		30200831.0000000000	US03076C1062	AMERIPRISE FINA		0		AMERIPRISE FINCL		20180118		0	TBRX			20200831	
	AMEDICAL		L_S_4fe28d60-6e8e-11ea-c3a3-f39d0e896d95_AMEDICAL_TBRX				Cash								L_S_4fe28d60-6e8e-11ea-c3a3-f39d0e896d95_AMEDICAL_TBRX				1.0000000000	 	USD		30200831.0000000000	US0234361089			0		AMEDICAL				0	TBRX			20200831	
	CAC 40 INDEX		L_S_7d16e0ee-5151-11e9-b8d0-ec23cf8de3db_CAC 40 INDEX_TBRX				Cash								L_S_7d16e0ee-5151-11e9-b8d0-ec23cf8de3db_CAC 40 INDEX_TBRX				10.0000000000	 	EUR		30200831.0000000000	FR0003500008	CAC 40 INDEX		0		CAC 40 INDEX				0	TBRX			20200831	
	FED RLTY INV TR		L_S_5b222a5c-1f2e-11e9-a2d0-b3645e528b7a_FED RLTY INV TR_TBRX				Cash						0B6105_TBRX		L_S_5b222a5c-1f2e-11e9-a2d0-b3645e528b7a_FED RLTY INV TR_TBRX				1.0000000000	 	USD		30200831.0000000000	US3137472060	FEDERAL REIT OR		0		FED RLTY INV TR		20180118		0	TBRX			20200831	
	SABR		L_S_363fbda6-6cdd-11e9-a7f0-e0a05e35b460_SABR_TBRX				Cash								L_S_363fbda6-6cdd-11e9-a7f0-e0a05e35b460_SABR_TBRX				1.0000000000	 	USD		30200831.0000000000	US78573M1045			0		SABR				0	TBRX			20200831	
	Grupo Aeroportuario del Sureste SAB de CV		L_S_2584698c-514c-11e9-b8d0-ec23cf8de3db_Grupo Aeroportuario del Sureste SAB de CV_TBRX				Cash								L_S_2584698c-514c-11e9-b8d0-ec23cf8de3db_Grupo Aeroportuario del Sureste SAB de CV_TBRX				1.0000000000	 	USD		30200831.0000000000	US40051E2028	GP AERO SURESTE		0		Grupo Aeroportuario del Sureste SAB de CV				0	TBRX			20200831	
	ACUSHNET HOLDINGS CORP		L_S_2583a8d0-514c-11e9-b8d0-ec23cf8de3db_ACUSHNET HOLDINGS CORP_TBRX				Cash								L_S_2583a8d0-514c-11e9-b8d0-ec23cf8de3db_ACUSHNET HOLDINGS CORP_TBRX				1.0000000000	 	USD		30200831.0000000000	US0050981085	ACUSHNET HOLDING		0		ACUSHNET HOLDINGS CORP				0	TBRX			20200831	
	DAIMLER		L_S_efa14748-1f2a-11e9-a2d0-b3645e528b7a_DAIMLER_TBRX				Cash						DAIMLER_TBRX		L_S_efa14748-1f2a-11e9-a2d0-b3645e528b7a_DAIMLER_TBRX				1.0000000000	 	EUR		30200831.0000000000	DE0007100000	DAIMLER		0		DAIMLER		20100104		0	TBRX			20200831	
	MOTOROLA SOL USD		L_S_5a835440-1f2e-11e9-a2d0-b3645e528b7a_MOTOROLA SOL USD_TBRX				Cash						0C8432_TBRX		L_S_5a835440-1f2e-11e9-a2d0-b3645e528b7a_MOTOROLA SOL USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US6200763075	MOTOROLA SOLUTI		0		MOTOROLA SOL USD		20180118		0	TBRX			20200831	
	Mantech		L_S_53d05501-99f9-11ea-2035-75c86b6be38f_Mantech_TBRX				Cash								L_S_53d05501-99f9-11ea-2035-75c86b6be38f_Mantech_TBRX				1.0000000000	 	USD		30200831.0000000000	US5645631046			0		Mantech				0	TBRX			20200831	
	ZUR ROSE ORD		L_S_5ae646e0-1f2e-11e9-a2d0-b3645e528b7a_ZUR ROSE ORD_TBRX				Cash						0A9474_TBRX		L_S_5ae646e0-1f2e-11e9-a2d0-b3645e528b7a_ZUR ROSE ORD_TBRX				1.0000000000	 	CHF		30200831.0000000000	CH0042615283	ZUR ROSE ORD		0		ZUR ROSE ORD		20170712		0	TBRX			20200831	
	BZU		L_S_ef9fc3a0-1f2a-11e9-a2d0-b3645e528b7a_BZU_TBRX				Cash						BUZZI UNICEM_TBRX		L_S_ef9fc3a0-1f2a-11e9-a2d0-b3645e528b7a_BZU_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0001347308	BUZZI UNICEM		0		BZU		20081110		0	TBRX			20200831	
	CENTURYLINK INC		L_S_5b25647e-1f2e-11e9-a2d0-b3645e528b7a_CENTURYLINK INC_TBRX				Cash						0B7999_TBRX		L_S_5b25647e-1f2e-11e9-a2d0-b3645e528b7a_CENTURYLINK INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US1567001060	CENTURYLINK ORD		0		CENTURYLINK INC		20180115		0	TBRX			20200831	
	ESTX UTIL PR		L_S_7d17b12c-5151-11e9-b8d0-ec23cf8de3db_ESTX UTIL PR_TBRX				Cash								L_S_7d17b12c-5151-11e9-b8d0-ec23cf8de3db_ESTX UTIL PR_TBRX				50.0000000000	 	EUR		30200831.0000000000	EU0009658582	ESTX UTIL PR		0		ESTX UTIL PR				0	TBRX			20200831	
