INSTRUMENTID_FE	REF_DATE	MARKET	RIC0	SYMBOL	SEDOL	MKT_SETTL_CONV	EXCHANGE_MARKET_CODE	FINAL_SETTLEMENT_DAYS	FIID	SSL_FEID	SSL_SNAPSHOT_DATE	MARKET_NAME	F_IS_PRIMARY
TWITTER INC USD	20200831	XNYS	TWTR.N	TWTR		2		2	L_S_5b24ccee-1f2e-11e9-a2d0-b3645e528b7a_TWITTER INC USD_TBRX	TBRX	30200831	Reuters Elektron	Y
DEUTSCHE TELEKOM	20200831	XXXX	20721	DTE		2		2	L_S_ef9f4c36-1f2a-11e9-a2d0-b3645e528b7a_DEUTSCHE TELEKOM_TBRX	TBRX	30200831	Internal	N
MICROSOFT USD	20200831	XNAS	MSFT.O	MSFT		2		2	L_S_5a59e6b4-1f2e-11e9-a2d0-b3645e528b7a_MICROSOFT USD_TBRX	TBRX	30200831	Reuters Elektron	Y
CBG.N	20200831	XLON	146352	CBG		2		2	L_S_5a87158a-1f2e-11e9-a2d0-b3645e528b7a_CBG.N_TBRX	TBRX	30200831	LSE Millennium	N
NORTHERN TRUST	20200831	XNAS	USD:O:4:US6658591044	NTRS		2		2	L_S_5a851168-1f2e-11e9-a2d0-b3645e528b7a_NORTHERN TRUST_TBRX	TBRX	30200831	Virtu	N
DCX MAR26 CALL 27.57 OTC - EPSILON | 13 MAR 26 | C | E | 27.5700000000	20200831	XXXX	27161469			10		5	O_bc5e7aca-7710-11e9-9400-98972329be46_DCX MAR26 CALL 27.57 OTC - EPSILON | 13 MAR 26 | C | E | 27.5700000000_TBRX	TBRX	30200831	OTC Derivatives	Y
VOLKSWAGEN PREF	20200831	XETR	2505114	VOW3-U		2		2	L_S_efa15aa8-1f2a-11e9-a2d0-b3645e528b7a_VOLKSWAGEN PREF_TBRX	TBRX	30200831	Xetra T7	Y
VOLKSWAGEN PREF	20200831	XZIM		VOW3-U		2		2	L_S_efa15aa8-1f2a-11e9-a2d0-b3645e528b7a_VOLKSWAGEN PREF_TBRX	TBRX	30200831	Proxy Structured	N
WDOX22	20200831	XAIM	854213	WDOX22		2		2	L_S_969a10ca-20f1-11ea-831f-a6db3c870c3e_WDOX22_TBRX	TBRX	30200831	BIT MTA	Y
MAP/AC 0,10	20200831	XLON	111203	MAP		2		2	L_S_5b242a6e-1f2e-11e9-a2d0-b3645e528b7a_MAP/AC 0,10_TBRX	TBRX	30200831	LSE Millennium	N
Redfin	20200831	XNAS	RDFN.O	RDFN		2		2	L_S_f5dd7291-1b6c-11ea-2954-839c95c768b4_Redfin_TBRX	TBRX	30200831	Reuters Elektron	Y
EM	20200831	XLON	110438	EM	B28GZM0	2		2	L_S_efa2faac-1f2a-11e9-a2d0-b3645e528b7a_EM_TBRX	TBRX	30200831	LSE Millennium	N
SD3E JUN19 BDT C0 BOND | 24 JUN 26 | C | E | .0001000000	20200831	XXXX	27932281			2		2	O_25bb6984-9885-11e9-aad0-484e8dce6db3_SD3E JUN19 BDT C0 BOND | 24 JUN 26 | C | E | .0001000000_TBRX	TBRX	30200831	Internal	Y
SMCP	20200831	XLON	144602	SMCP	BF54C16	2		2	L_S_6e4ca100-1f2b-11e9-a2d0-b3645e528b7a_SMCP_TBRX	TBRX	30200831	LSE Millennium	N
ENEL0U8.40 | 18 SEP 20 | P | A | 8.4000000000	20200831	XXXX	zc:IDJ6	ENEL		1		2	O_884ca2fa-ddc9-11e9-9eb0-e7766f5ef7bc_ENEL0U8.40 | 18 SEP 20 | P | A | 8.4000000000_TBRX	TBRX	30200831	Internal	N
BASF	20200831	XZIM		BASF		2		2	L_S_efa3354e-1f2a-11e9-a2d0-b3645e528b7a_BASF_TBRX	TBRX	30200831	Proxy Structured	N
AKU1	20200831	ETLX	517300	AKU1	BJB54Z9	2		2	L_S_6e52bffe-1f2b-11e9-a2d0-b3645e528b7a_AKU1_TBRX	TBRX	30200831	EuroTLX Equities	N
MERCK & CO USD	20200831	XNYS	USD:N:4:US58933Y1055	MRK		2		2	L_S_250c5dde-514c-11e9-b8d0-ec23cf8de3db_MERCK & CO USD_TBRX	TBRX	30200831	Virtu	N
Sogou	20200831	XNYS	SOGO.N	SOGO		2		2	L_S_e9786072-3608-11ea-221c-d74f383f2d96_Sogou_TBRX	TBRX	30200831	Reuters Elektron	Y
BIOGEN USD	20200831	XLON	145709	BIIB		2		2	L_S_5b09d9c0-1f2e-11e9-a2d0-b3645e528b7a_BIOGEN USD_TBRX	TBRX	30200831	LSE Millennium	N
Q2 Holdings Inc	20200831	XNYS	QTWO.N	QTWO		2		2	L_S_9dd15f15-648a-11ea-92ff-d46aba8b31a8_Q2 Holdings Inc_TBRX	TBRX	30200831	Reuters Elektron	Y
EDP	20200831	XLIS	EDP.LS	EDP		2		2	L_S_5a63c30a-1f2e-11e9-a2d0-b3645e528b7a_EDP_TBRX	TBRX	30200831	Reuters Elektron	Y
FDIV 202009 | SEP 20	20200831	XEUR	4631935	FDIV		2		2	L_S_499795d6-254c-11ea-af50-2dba816f6810_FDIV 202009 | SEP 20_TBRX	TBRX	30200831	Eurex NTA	Y
EP3 G SEPT20 PUT100 BOND | 25 SEP 20 | P | E | 10.9200000000	20200831	XXXX	21224898			2		2	O_851b242a-62b4-11e9-b160-4ad6f9df0bf5_EP3 G SEPT20 PUT100 BOND | 25 SEP 20 | P | E | 10.9200000000_TBRX	TBRX	30200831	Internal	Y
MACK-CALI REALTY CORP	20200831	XNYS	CLI.N	CLI		2		2	L_S_731b8566-8551-11ea-b7e8-9b0947f592a0_MACK-CALI REALTY CORP_TBRX	TBRX	30200831	Reuters Elektron	Y
FISERV INC	20200831	XNAS	USD:O:4:US3377381088	FISV		2		2	L_S_5ac11fc8-1f2e-11e9-a2d0-b3645e528b7a_FISERV INC_TBRX	TBRX	30200831	Virtu	N
NEXTERA ENERGY	20200831	XLON	146210	NEE		2		2	L_S_5a810de8-1f2e-11e9-a2d0-b3645e528b7a_NEXTERA ENERGY_TBRX	TBRX	30200831	LSE Millennium	N
OPT_SD3E JUN19 BDT C66.66 6Y - 5060 | 24 JUN 25 | C | E | 1277.9600000000	20200831	XXXX	30678869	5060		2		2	O_bc78f8c2-9e9d-11ea-a0a0-6b77645bee53_OPT_SD3E JUN19 BDT C66.66 6Y - 5060 | 24 JUN 25 | C | E | 1277.9600000000_TBRX	TBRX	30200831	Internal	Y
