BARRIER_SPREAD_DOWN	EXPIRY	MARKET_COUNTRY	SECURITY_DEATH	COMMENT_VALUE	QUOTATION	F_BARRIER_STYLE	DIGITAL_DES	SSL_SNAPSHOT_DATE	FIXING_TYPE	SSL_FEID	STARTDATE	F_QUANTO	STRIKE_MODE	EXPIRY_MATERIAL_ID	F_CASH_DELIVERY	UNDERLYINGID_FE	CLASSID	F_QPERCENTAGE	F_ADDFLOWS	BARRIER_REBATE	F_STARTMODE	LOTSIZE	FORWARD_START_DATE	PAYOUT	MARKET	DIGITAL_PAYOUT_CUR	UNDERLYINGID	BARRIER_WINDOW_START_DATE	TRADE_DATE	REF_DATE	F_DIGITAL_STANDARD	LAST_TRADING_DATE	CAP_VALUE	DISC_FACTOR	CURRENCY	QUANTITY	UNIT	MARGIN	QUANTO_FACTOR_TYPE	DELIVERY_DATE	MKT_TRDCLAUSE	F_MARGIN_CALL	F_CALL_PUT	BARRIER_REBATE_QUOTATION	QUANTITY_DIVISOR	EXPIRY_SHIFT	EXERCISE_STYLE	MULTIPLE	FLEX_FORMULA	AUTO_ROLL	QUANTO_CONVERSION_RATE	DESCRIPTION	FOREX_FACTOR	EXPIRY_LABEL	CONVERSION_TYPE_MULTICURRENCY	OTYPE	FLOOR_VALUE	PREMIUM_MODE	PAYOFF_RULE_DES	EXPIRY_ID	FLEX_TYPE	BARRIER_REBATE_TYPE	F_FLEX	CONTRACT	STRIKE	F_AMORTIZED	FIID	DIGITAL_PAYOUT	BARRIER_PERIOD	FLEX_BLOCK	AMERICAN_EUROPEAN	QUANTITY_CURRENCY	EXPIRY_STRUCT_WRNT	BARRIER_EXERCISE_STYLE	BARRIER	RIC0	RIC2	RIC1	RIC3	F_ISEXOTIC	PARITY	PAYOFF_RULE	SHIFTER	F_COMPO	EXPIRY_SET_ID	MKT_SETTLRULE	EXPIRY_SET_DESCRIPTION	BARRIER_NATURE	BARRIER_SPREAD_UP	INSTRUMENTID_FE	BARRIER_VALUE2	CAP	F_REBATE_PAYMENT	COMMENT1	COMMENT0	BARRIER_VALUE	BARRIER_WINDOW_END_DATE	EXPIRY_SET	F_CUTOFF	F_COMMODITY_WARRANT	STRIKE_KIND	FORWARD_START_STYLE	QUOTATION_ENDDATE	QUOTATION_STARTDATE	TRADING_SYMBOL	EXPIRY_RULE	MATURITY_COUNT	STARDATE_RULE	MATURITY	CLEARING_CENTER_NAME	FLEX_TYPE_DES	EXPIRY_DYN	FORM_FACTOR	UNDERLYING_EXPIRYLABEL	QUANTO_CURR	FORWARD_START_END_DATE	IS_FORWARD_START	F_CASH_DELIVERY_DETT	KNOCKSTATUS	CALL_DATE	DAYSTD	DAYSTM	F_CAPGAR	F_CERTIFICATE	F_CPPI	F_MULTIPAYMENT	F_NOMINALMODE	PERC_CAPGAR	PREMIUM_DATE	F_AUTOCALL	COMPLIANCE	FV_LEVEL
	20201218							30200831		TBRX					P	CNHI						500.0000000000					L_S_efa48962-1f2a-11e9-a2d0-b3645e528b7a_CNHI_TBRX			20200831					EUR								C				A					CNHI0L7.40		DEC 20											7.4000000000		O_fb639cba-382f-11ea-b980-c857a3eb4fce_CNHI0L7.40 | 18 DEC 20 | C | A | 7.4000000000_TBRX				A																			CNHI0L7.40 | 18 DEC 20 | C | A | 7.4000000000												0															N															
	20201120							30200831		TBRX					P	MB						500.0000000000					L_S_ef9cb372-1f2a-11e9-a2d0-b3645e528b7a_MB_TBRX			20200831					EUR								P				A					MB0W7.80		NOV 20											7.8000000000		O_557d5ba6-e5cc-11ea-bc90-d15aa210e889_MB0W7.80 | 20 NOV 20 | P | A | 7.8000000000_TBRX				A																			MB0W7.80 | 20 NOV 20 | P | A | 7.8000000000												0															N															
	20210618							30200831		TBRX					P	TIT						1000.0000000000					L_S_ef9e0240-1f2a-11e9-a2d0-b3645e528b7a_TIT_TBRX			20200831					EUR								C				A					TIT1F0.54		JUN 21											0.5400000000		O_a060b39e-b44d-11ea-91c0-94d1ccfa987c_TIT1F0.54 | 18 JUN 21 | C | A | .5400000000_TBRX				A																			TIT1F0.54 | 18 JUN 21 | C | A | .5400000000												0															N															
	20200923							30200831		TBRX					C	STXE 600 HECR PR						1.0000000000					L_S_7d17ee58-5151-11e9-b8d0-ec23cf8de3db_STXE 600 HECR PR_TBRX			20200831					EUR								C				E							SEP 20											1066.7664000000		O_bb449b82-9e9d-11ea-a0a0-6b77645bee53_OPT_EP3 SXDP SEPT20 BDT CALL 144 - 3569 | 23 SEP 20 | C | E | 1066.7664000000_TBRX				E																			OPT_EP3 SXDP SEPT20 BDT CALL 144 - 3569 | 23 SEP 20 | C | E | 1066.7664000000												0															N															
	20250218							30200831		TBRX					C	FESX 202009 | SEP 20						1.0000000000					L_S_f67d7c3e-1f30-11e9-a2d0-b3645e528b7a_FESX 202009 | SEP 20_TBRX			20200831					EUR								C				E							FEB 25											1637.0000000000		O_bc4d2094-9e9d-11ea-a0a0-6b77645bee53_OPT_EP CED SX5E FEB26 C50 6Y - 4866 | 18 FEB 25 | C | E | 1637.0000000000_TBRX				E																			OPT_EP CED SX5E FEB26 C50 6Y - 4866 | 18 FEB 25 | C | E | 1637.0000000000												0															N															
	20260527							30200831		TBRX					C	ESTX SD 30 PR						1.0000000000					L_S_7d175f42-5151-11e9-b8d0-ec23cf8de3db_ESTX SD 30 PR_TBRX			20200831					EUR								C				E							MAY 26											2042.0400000000		O_e941a41a-a3ea-11ea-a680-738491c6e588_0_EUR_SELDIV C 2042.04 26 - 5681 | 27 MAY 26 | C | E | 2042.0400000000_TBRX				E																			0_EUR_SELDIV C 2042.04 26 - 5681 | 27 MAY 26 | C | E | 2042.0400000000												0															N															
	20201023							30200831		TBRX					C	ESTX UTIL PR						1.0000000000					L_S_7d17b12c-5151-11e9-b8d0-ec23cf8de3db_ESTX UTIL PR_TBRX			20200831					EUR								C				E							OCT 20											251.2000000000		O_89089e78-62b4-11e9-b160-4ad6f9df0bf5_SX6E OCT20 CATM | 23 OCT 20 | C | E | 251.2000000000_TBRX				E																			SX6E OCT20 CATM | 23 OCT 20 | C | E | 251.2000000000												0															N															
	20270224							30200831		TBRX					C	ESTX SD 30 PR						1.0000000000					L_S_7d175f42-5151-11e9-b8d0-ec23cf8de3db_ESTX SD 30 PR_TBRX			20200831					EUR								C				E							FEB 27											1194.0663670000		O_34a682da-5a5e-11ea-ba40-96f751be5152_0_EUR_SELDIV C 1194.066 27 - 5519 | 24 FEB 27 | C | E | 1194.0663670000_TBRX				E																			0_EUR_SELDIV C 1194.066 27 - 5519 | 24 FEB 27 | C | E | 1194.0663670000												0															N															
	20201218							30200831		TBRX					P	UCG						500.0000000000					L_S_efa29670-1f2a-11e9-a2d0-b3645e528b7a_UCG_TBRX			20200831					EUR								C				A					UCG0L9		DEC 20											9.0000000000		O_02a88510-2554-11ea-af50-2dba816f6810_UCG0L9 | 18 DEC 20 | C | A | 9.0000000000_TBRX				A																			UCG0L9 | 18 DEC 20 | C | A | 9.0000000000												0															N															
	20201218							30200831		TBRX					C	FESX 202009 | SEP 20						10.0000000000					L_S_f67d7c3e-1f30-11e9-a2d0-b3645e528b7a_FESX 202009 | SEP 20_TBRX			20200831					EUR								P				E					OESX 202012 P 3200		DEC 20											3200.0000000000		O_f380d076-1f30-11e9-a2d0-b3645e528b7a_OESX 202012 P 3200 | 18 DEC 20 | P | E | 3200.0000000000_TBRX				E																			OESX 202012 P 3200 | 18 DEC 20 | P | E | 3200.0000000000												0															N															
