INSTRUMENTID_FE	REF_DATE	QUANTITYFACTOR	FIID	SSL_FEID	SSL_SNAPSHOT_DATE	COMPONENT_FIID	COMPONENT_INSTRUMENTID_FE
EP3 SPX JAN22 IPB_L	20200831	-0.7441750000	L_S_0915197a-4734-11ea-b560-bbc9543df1c2_EP3 SPX JAN22 IPB_L_TBRX	TBRX	30200831	O_7e8bb278-62b4-11e9-b160-4ad6f9df0bf5_SPX JAN22 CALL100 BOND | 03 JAN 22 | C | E | 2687.5400000000_TBRX	SPX JAN22 CALL100 BOND | 03 JAN 22 | C | E | 2687.5400000000
EP3 SPX JAN22 IPB_L	20200831	0.7367332500	L_S_0915197a-4734-11ea-b560-bbc9543df1c2_EP3 SPX JAN22 IPB_L_TBRX	TBRX	30200831	O_7e900918-62b4-11e9-b160-4ad6f9df0bf5_SPX JAN22 CALL ATM | 03 JAN 22 | C | E | 2687.5400000000_TBRX	SPX JAN22 CALL ATM | 03 JAN 22 | C | E | 2687.5400000000
EP3 SPX JAN22 IPB_L	20200831	-0.7441750000	L_S_0915197a-4734-11ea-b560-bbc9543df1c2_EP3 SPX JAN22 IPB_L_TBRX	TBRX	30200831	O_7e909090-62b4-11e9-b160-4ad6f9df0bf5_SPX JAN22 PUT ATM | 03 JAN 22 | P | E | 2687.5400000000_TBRX	SPX JAN22 PUT ATM | 03 JAN 22 | P | E | 2687.5400000000
I05427	20200831	0.0247269210	L_S_0a62975c-9ee8-11e9-a820-613b1ee7f531_I05427_TBRX	TBRX	30200831	O_25bb16c8-9885-11e9-aad0-484e8dce6db3_SD3E JUN19 BDT C66.66 7Y | 24 JUN 26 | C | E | 1277.9600000000_TBRX	SD3E JUN19 BDT C66.66 7Y | 24 JUN 26 | C | E | 1277.9600000000
I05427	20200831	0.0247269210	L_S_0a62975c-9ee8-11e9-a820-613b1ee7f531_I05427_TBRX	TBRX	30200831	O_25ba7e5c-9885-11e9-aad0-484e8dce6db3_SD3E JUN19 BDT C66.66 4Y | 22 JUN 23 | C | E | 1277.9600000000_TBRX	SD3E JUN19 BDT C66.66 4Y | 22 JUN 23 | C | E | 1277.9600000000
I05427	20200831	0.0247269210	L_S_0a62975c-9ee8-11e9-a820-613b1ee7f531_I05427_TBRX	TBRX	30200831	O_25ba61b0-9885-11e9-aad0-484e8dce6db3_SD3E JUN19 BDT C66.66 3Y | 22 JUN 22 | C | E | 1277.9600000000_TBRX	SD3E JUN19 BDT C66.66 3Y | 22 JUN 22 | C | E | 1277.9600000000
I05427	20200831	0.5216650000	L_S_0a62975c-9ee8-11e9-a820-613b1ee7f531_I05427_TBRX	TBRX	30200831	O_25bb6984-9885-11e9-aad0-484e8dce6db3_SD3E JUN19 BDT C0 BOND | 24 JUN 26 | C | E | .0001000000_TBRX	SD3E JUN19 BDT C0 BOND | 24 JUN 26 | C | E | .0001000000
I05427	20200831	0.5216650000	L_S_0a62975c-9ee8-11e9-a820-613b1ee7f531_I05427_TBRX	TBRX	30200831	O_25bba8c2-9885-11e9-aad0-484e8dce6db3_SD3E JUN19 BDT P100 BOND | 24 JUN 26 | P | E | 1916.9400000000_TBRX	SD3E JUN19 BDT P100 BOND | 24 JUN 26 | P | E | 1916.9400000000
CERT SD3E APR26 BDT	20200831	-0.4889210000	L_S_196a3d22-6fc2-11e9-a250-f628c381b22f_CERT SD3E APR26 BDT_TBRX	TBRX	30200831	O_b9c0557c-7710-11e9-9400-98972329be46_CERT SD3E APR26 BDT C100 BOND | 28 APR 26 | C | E | 2045.3200000000_TBRX	CERT SD3E APR26 BDT C100 BOND | 28 APR 26 | C | E | 2045.3200000000
CERT SD3E APR26 BDT	20200831	0.0249349710	L_S_196a3d22-6fc2-11e9-a250-f628c381b22f_CERT SD3E APR26 BDT_TBRX	TBRX	30200831	O_b9c105da-7710-11e9-9400-98972329be46_CERT SD3E APR26 BDT C66.66 2Y | 26 APR 21 | C | E | 1363.5535000000_TBRX	CERT SD3E APR26 BDT C66.66 2Y | 26 APR 21 | C | E | 1363.5535000000
