ASSETCLASS_DES	NEW_MTYPE	DESCRIPTION_EXT	FI_TYPE	NUMBEROFPHASES	INSTRUMENT_FE	ASSETCLASS	NEW_MGROUP	SSL_FEID	SEC_REFERENCE	F_ISLISTED	TYPOLOGY_DES	SEC_GROUP	DESCRIPTION	COMMENT1	COMMENT0	COMMENT2	ISSUERID	TYPE_DES	FIID	SEC_TYPE	PHASE	ISIN	GROUP_DES	INSTRUMENTID_FE	MTYPE	FAMILY_DES	NEW_MFAMILY	F_LABELCHG	SSL_SNAPSHOT_DATE	TYPOLOGY	MFAMILY	SEC_CATEGORY	REF_DATE	NEW_TYPOLOGY	STRUCTID_FE	INSTRUMENTNUM_FE	MGROUP	QUANTITYFACTOR
	Common/Ordinary shares		FI_EQUITY	1.0000000000	RELIANCE STEEL		Equities	TBRX		Y		Equities	RELIANCE STEEL						L_S_2510349a-514c-11e9-b8d0-ec23cf8de3db_RELIANCE STEEL_TBRX	Equities	0.0000000000	US7595091023		RELIANCE STEEL			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	DDAXK MAY22 CCAP		Options	TBRX		Y		Equities							O_8423cd88-62b4-11e9-b160-4ad6f9df0bf5_DDAXK MAY22 CCAP | 26 MAY 22 | C | E | 192.5748000000_TBRX	Options	0.0000000000			DDAXK MAY22 CCAP | 26 MAY 22 | C | E | 192.5748000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	OEXD 202112 P 100		Options	TBRX		Y		Equities	OEXD 202112 P 100						O_f37ef594-1f30-11e9-a2d0-b3645e528b7a_OEXD 202112 P 100 | 17 DEC 21 | P | E | 100.0000000000_TBRX	Options	0.0000000000	DE000P0QK776		OEXD 202112 P 100 | 17 DEC 21 | P | E | 100.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Put		FI_OPTION	1.0000000000	ENL5 202106 P 4.8		Options	TBRX		Y		Equities	ENL5 202106 P 4.8						O_f5e8f3a2-1f30-11e9-a2d0-b3645e528b7a_ENL5 202106 P 4.8 | 17 JUN 21 | P | A | 4.8000000000_TBRX	Options	0.0000000000	DE000C2EVPM3		ENL5 202106 P 4.8 | 17 JUN 21 | P | A | 4.8000000000			Equities		30200831		Equities	Put	20200831				Put	
	Warrants Call		FI_OPTION	1.0000000000	I05722		Rights	TBRX		Y		Equities	BI SPM0,1SLC5,5E071220						L_S_a37cfca6-d5e9-11e9-ba50-35a1ce420b26_I05722_TBRX	Rights	0.0000000000	IT0005384182		I05722	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	AXA FEB23 CALL 10.91 OTC - EPSILON		Options	TBRX		N		Equities							O_c106e328-7710-11e9-9400-98972329be46_AXA FEB23 CALL 10.91 OTC - EPSILON | 13 FEB 23 | C | E | 10.9100000000_TBRX	Options	0.0000000000			AXA FEB23 CALL 10.91 OTC - EPSILON | 13 FEB 23 | C | E | 10.9100000000			Equities		30200831		Equities	Call	20200831			26854673	Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	ZEBRA TECH		Equities	TBRX		Y		Equities	ZEBRA TECH						L_S_2523c6cc-514c-11e9-b8d0-ec23cf8de3db_ZEBRA TECH_TBRX	Equities	0.0000000000	US9892071054		ZEBRA TECH			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	FTMIB DEC26 C100 BOND		Options	TBRX		Y		Equities							O_76c08514-2884-11ea-9d50-164b86ad1823_FTMIB DEC26 C100 BOND | 28 DEC 26 | C | E | 23757.6000000000_TBRX	Options	0.0000000000			FTMIB DEC26 C100 BOND | 28 DEC 26 | C | E | 23757.6000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	SX5E FEB26 CALL50 OTC - EPSILON2		Options	TBRX		N		Equities							O_b644a4ca-7710-11e9-9400-98972329be46_SX5E FEB26 CALL50 OTC - EPSILON2 | 11 FEB 26 | C | E | 1639.8000000000_TBRX	Options	0.0000000000			SX5E FEB26 CALL50 OTC - EPSILON2 | 11 FEB 26 | C | E | 1639.8000000000			Equities		30200831		Equities	Call	20200831			26947076	Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	AIR FRANCE KLM		Equities	TBRX		Y		Equities	AIR FRANCE KLM						L_S_efa0d0b0-1f2a-11e9-a2d0-b3645e528b7a_AIR FRANCE KLM_TBRX	Equities	0.0000000000	FR0000031122		AIR FRANCE KLM			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Warrants Call		FI_OPTION	1.0000000000	I06226		Rights	TBRX		Y		Equities	BI CW CALL UNICREDIT 19 E 071220						L_S_d3e192fe-5211-11ea-8640-38c7f938b954_I06226_TBRX	Rights	0.0000000000	IT0005401713		I06226	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	BMPS0U1.25		Options	TBRX		Y		Equities	BMPS0U1.25						O_87e6a9d2-ddc9-11e9-9eb0-e7766f5ef7bc_BMPS0U1.25 | 18 SEP 20 | P | A | 1.2500000000_TBRX	Options	0.0000000000	IT0016087402		BMPS0U1.25 | 18 SEP 20 | P | A | 1.2500000000			Equities		30200831		Equities	Put	20200831				Put	
	Combined Instruments		FI_OPTION	1.0000000000	I05389		Miscellaneous	TBRX		Y		Equities	BI EUS50CPP85%CE150525						L_S_c3759d1e-baa1-11e9-a020-091cb4b8f405_I05389_TBRX	Miscellaneous	0.0000000000	XS1981794008		I05389			Equities		30200831		Equities	Combined Instruments	20200831				Composite	
	Call		FI_OPTION	1.0000000000	OPT_SD3E NOV21 CATM - 3605		Options	TBRX		Y		Equities							O_4c5995da-b093-11ea-bdb0-f7127f36688c_OPT_SD3E NOV21 CATM - 3605 | 23 NOV 21 | C | E | 1937.7400000000_TBRX	Options	0.0000000000			OPT_SD3E NOV21 CATM - 3605 | 23 NOV 21 | C | E | 1937.7400000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	Cushman Wakefield PLC		Equities	TBRX		Y		Equities							L_S_455a31fa-7a81-11ea-1eaf-fcfe3245e49d_Cushman Wakefield PLC_TBRX	Equities	0.0000000000	GB00BFZ4N465		Cushman Wakefield PLC			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	Nikola		Equities	TBRX		Y		Equities							L_S_e2ae65f4-e788-11ea-b847-52a32f7b9b85_Nikola_TBRX	Equities	0.0000000000	US6541101050		Nikola			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	EPC SD3E SEP24 CATM		Options	TBRX		Y		Equities							O_7b873584-62b4-11e9-b160-4ad6f9df0bf5_EPC SD3E SEP24 CATM | 09 SEP 24 | C | E | 1958.8700000000_TBRX	Options	0.0000000000			EPC SD3E SEP24 CATM | 09 SEP 24 | C | E | 1958.8700000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	EXO0X31		Options	TBRX		Y		Equities	EXO0X31						O_46ab1904-69af-11ea-83d0-3892cbdc6f96_EXO0X31 | 18 DEC 20 | P | A | 31.0000000000_TBRX	Options	0.0000000000	IT0016789239		EXO0X31 | 18 DEC 20 | P | A | 31.0000000000			Equities		30200831		Equities	Put	20200831				Put	
