POSPRICE	BASECURR_PORTCURR	POSITIONID	F_PURGED	QUANTITY	QUANTITY_BUY	QUOTCURR_PORTCURR	POSPRICE_BUY	PORTFOLIOID	QUANTITY_SELL	CURRENCY	SSL_SNAPSHOT_DATE	SSL_FEID	POSPRICE_SELL	FIID	PORTFOLIOID_FE	REF_DATE	POSITIONID_FE	INSTRUMENT_FE	MFAMILY	MGROUP	MTYPE	PL_KEY_FE	RSKSECTION	TYPOLOGY	USAGE	INTRADAY	QUANTITY_LIVE	SRC_ENTITYID	EQUIVALENT_POSITION
0.2115000000		EQ_SSVOL | EUR | Equities | Options | Call | CNHI0I7.20 | 18 SEP 20 | C | A | 7.2000000000 | XDMI | Borsa Italiana IDEM_06b83870-e4dc-11e9-a670-969e6de33b26_TBRX	N	6.0000000000	6.0000000000			EQ_SSVOL_TBRX	0.0000000000	EUR	30200831	TBRX		O_06b83870-e4dc-11e9-a670-969e6de33b26_CNHI0I7.20 | 18 SEP 20 | C | A | 7.2000000000_TBRX	EQ_SSVOL	20200831	EQ_SSVOL | EUR | Equities | Options | Call | CNHI0I7.20 | 18 SEP 20 | C | A | 7.2000000000 | XDMI | Borsa Italiana IDEM	CNHI0I7.20	Equities	Options	Call	XDMI						INTESA SANPAOLO SPA - MILANO	
2.8901972020		VOL_STOCK_SS_PR | EUR | Equities | Options | Put | OPT_EPC G JUN21 PUT ATM IPB - 4613 | 29 JUN 21 | P | E | 14.6000000000 | XXXX | Internal_fd013f8a-aef1-11ea-8700-3d076c78611f_TBRX	N	-192739.7241000000	825273.9643500000			VOL_STOCK_SS_PR_TBRX	1018013.6884500000	EUR	30200831	TBRX		O_fd013f8a-aef1-11ea-8700-3d076c78611f_OPT_EPC G JUN21 PUT ATM IPB - 4613 | 29 JUN 21 | P | E | 14.6000000000_TBRX	VOL_STOCK_SS_PR	20200831	VOL_STOCK_SS_PR | EUR | Equities | Options | Put | OPT_EPC G JUN21 PUT ATM IPB - 4613 | 29 JUN 21 | P | E | 14.6000000000 | XXXX | Internal	OPT_EPC G JUN21 PUT ATM IPB - 4613	Equities	Options	Put	XXXX						INTESA SANPAOLO SPA - MILANO	
0.0000000000		STRATEGIC | EUR | Equities | Options | Call | NOA3 202012 C 4.4 | 18 DEC 20 | C | A | 4.4000000000 | XEUR | Eurex NTA_2dbe786e-a209-11e9-8bd0-0df8aed42ae6_TBRX	N	0.0000000000	1000.0000000000			STRATEGIC_TBRX	1000.0000000000	EUR	30200831	TBRX		O_2dbe786e-a209-11e9-8bd0-0df8aed42ae6_NOA3 202012 C 4.4 | 18 DEC 20 | C | A | 4.4000000000_TBRX	STRATEGIC	20200831	STRATEGIC | EUR | Equities | Options | Call | NOA3 202012 C 4.4 | 18 DEC 20 | C | A | 4.4000000000 | XEUR | Eurex NTA	NOA3 202012 C 4.4	Equities	Options	Call	XEUR						INTESA SANPAOLO SPA - MILANO	
985.3658536585		EQ-INDEXVOL2 | EUR | Equities | Options | Put | MIBO0X16500 | 18 DEC 20 | P | E | 16500.0000000000 | XDMI | Borsa Italiana IDEM_c23aa234-629c-11ea-b360-e4afb098eae1_TBRX	N	-41.0000000000	0.0000000000			EQ-INDEXVOL2_TBRX	41.0000000000	EUR	30200831	TBRX		O_c23aa234-629c-11ea-b360-e4afb098eae1_MIBO0X16500 | 18 DEC 20 | P | E | 16500.0000000000_TBRX	EQ-INDEXVOL2	20200831	EQ-INDEXVOL2 | EUR | Equities | Options | Put | MIBO0X16500 | 18 DEC 20 | P | E | 16500.0000000000 | XDMI | Borsa Italiana IDEM	MIBO0X16500	Equities	Options	Put	XDMI						INTESA SANPAOLO SPA - MILANO	
0.0000000000		RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | VNE | XNYS | Reuters Elektron_ea672c69-4c0c-11ea-abf4-48ee3337ad87_TBRX	N	0.0000000000	5144.0000000000			RELATIVE09_TBRX	5144.0000000000	USD	30200831	TBRX		L_S_ea672c69-4c0c-11ea-abf4-48ee3337ad87_VNE_TBRX	RELATIVE09	20200831	RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | VNE | XNYS | Reuters Elektron	VNE	Equities	Equities	Common/Ordinary shares	XNYS						INTESA SANPAOLO SPA - MILANO	
0.0000000000		SYST_VOL | EUR | Equities | Equities | Common/Ordinary shares | DANR | MTAA | BIT MTA_efa40e74-1f2a-11e9-a2d0-b3645e528b7a_TBRX	N	0.0000000000	10000.0000000000			SYST_VOL_TBRX	10000.0000000000	EUR	30200831	TBRX		L_S_efa40e74-1f2a-11e9-a2d0-b3645e528b7a_DANR_TBRX	SYST_VOL	20200831	SYST_VOL | EUR | Equities | Equities | Common/Ordinary shares | DANR | MTAA | BIT MTA	DANR	Equities	Equities	Common/Ordinary shares	MTAA						INTESA SANPAOLO SPA - MILANO	
83.0028000000		SYST_VOL | EUR | Equities | Equities | Common/Ordinary shares | VINCI | XPAR | Euronext Optiq_efa1d5aa-1f2a-11e9-a2d0-b3645e528b7a_TBRX	N	600.0000000000	600.0000000000			SYST_VOL_TBRX	0.0000000000	EUR	30200831	TBRX		L_S_efa1d5aa-1f2a-11e9-a2d0-b3645e528b7a_VINCI_TBRX	SYST_VOL	20200831	SYST_VOL | EUR | Equities | Equities | Common/Ordinary shares | VINCI | XPAR | Euronext Optiq	VINCI	Equities	Equities	Common/Ordinary shares	XPAR						INTESA SANPAOLO SPA - MILANO	
0.0000000000		ALPHA_SHORT | EUR | Equities | Equities | Common/Ordinary shares | STM | MTAA | BIT MTA_ef9fb0b8-1f2a-11e9-a2d0-b3645e528b7a_TBRX	N	0.0000000000	77500.0000000000			ALPHA_SHORT_TBRX	77500.0000000000	EUR	30200831	TBRX		L_S_ef9fb0b8-1f2a-11e9-a2d0-b3645e528b7a_STM_TBRX	ALPHA_SHORT	20200831	ALPHA_SHORT | EUR | Equities | Equities | Common/Ordinary shares | STM | MTAA | BIT MTA	STM	Equities	Equities	Common/Ordinary shares	MTAA						INTESA SANPAOLO SPA - MILANO	
3.1993236577		VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_SD3E MAR26 CCAP - 5202 | 26 MAR 26 | C | E | 2681.3910000000 | XXXX | Internal_bc87d4dc-9e9d-11ea-a0a0-6b77645bee53_TBRX	N	-40583.6013990000	110.8715930000			VOL_STCK_AA_PR_TBRX	40694.4729920000	EUR	30200831	TBRX		O_bc87d4dc-9e9d-11ea-a0a0-6b77645bee53_OPT_SD3E MAR26 CCAP - 5202 | 26 MAR 26 | C | E | 2681.3910000000_TBRX	VOL_STCK_AA_PR	20200831	VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_SD3E MAR26 CCAP - 5202 | 26 MAR 26 | C | E | 2681.3910000000 | XXXX | Internal	OPT_SD3E MAR26 CCAP - 5202	Equities	Options	Call	XXXX						INTESA SANPAOLO SPA - MILANO	
0.7200000000		EQ_SSVOL | EUR | Equities | Options | Put | BMPS0X2.20 | 18 DEC 20 | P | A | 2.2000000000 | XDMI | Borsa Italiana IDEM_4c9f6632-1f30-11e9-a2d0-b3645e528b7a_TBRX	N	100.0000000000	100.0000000000			EQ_SSVOL_TBRX	0.0000000000	EUR	30200831	TBRX		O_4c9f6632-1f30-11e9-a2d0-b3645e528b7a_BMPS0X2.20 | 18 DEC 20 | P | A | 2.2000000000_TBRX	EQ_SSVOL	20200831	EQ_SSVOL | EUR | Equities | Options | Put | BMPS0X2.20 | 18 DEC 20 | P | A | 2.2000000000 | XDMI | Borsa Italiana IDEM	BMPS0X2.20	Equities	Options	Put	XDMI						INTESA SANPAOLO SPA - MILANO	
