VERSION;REFERENCE_DATE;STRUCTURE_DATE;MARKET_PARAMETER_SET;TRADING_SYSTEM;SOURCE;ASSET_CLASS;RISK_FACTOR;MARKET_PARAMETER_TYPE;MARKET_PARAMETER_SUBTYPE;MARKET_PARAMETER_CLASSIFICATION;UNDERLYING;UNDERLYING_BREAKDOWN;CURRENCY;CURRENCY_BREAKDOWN;START_DATE;MATURITY_LABEL;MATURITY_DATE;STRIKE;MARKET_PARAMETER_MULT_1;MARKET_PARAMETER_MULT_2;CONVERSION_FACTOR;TIME_FACTOR;MARKET_PARAMETER_VALUE;PARAMSET_NAME1;PARAMSET_VALUE1;PARAMSET_NAME2;PARAMSET_VALUE2;PARAMSET_NAME3;PARAMSET_VALUE3;PARAMSET_NAME4;PARAMSET_VALUE4;PARAMSET_NAME5;PARAMSET_VALUE5;PARAMSET_NAME6;PARAMSET_VALUE6;PARAMSET_NAME7;PARAMSET_VALUE7;PARAMSET_NAME8;PARAMSET_VALUE8;LINEAR_BREAKDOWN_NAME1;LINEAR_BREAKDOWN_VALUE1;LINEAR_BREAKDOWN_NAME2;LINEAR_BREAKDOWN_VALUE2;LINEAR_BREAKDOWN_NAME3;LINEAR_BREAKDOWN_VALUE3;LINEAR_BREAKDOWN_NAME4;LINEAR_BREAKDOWN_VALUE4;LINEAR_BREAKDOWN_NAME5;LINEAR_BREAKDOWN_VALUE5;LINEAR_BREAKDOWN_NAME6;LINEAR_BREAKDOWN_VALUE6;LINEAR_BREAKDOWN_NAME7;LINEAR_BREAKDOWN_VALUE7;LINEAR_BREAKDOWN_NAME8;LINEAR_BREAKDOWN_VALUE8;PORTFOLIO;TRANSACTION_TYPE;TYPOLOGY;INSTRUMENT;TRADE_ID;MODEL;INSTRUMENT_MATURITY_DATE;UNDERLYING_MATURITY_DATE;POSITION_STRIKE
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Currencies-Referential Instruments-Currencies;;EUR/CAD;;CAD;;;n.a.;01/01/1900;;1;1;;;;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;;CFICode;TCXXXX;Ric;EURCAD=;FutUnd;;RefBid;1.55820000;RefAsk;1.55870000;RefMid;1.55845000;ClsBid;1.55130000;ClsAsk;1.55130000;ClsMid;1.55130000;Lsize;;MIC;XXXX;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Currencies-Referential Instruments-Currencies;;EUR/CHF;;CHF;;;n.a.;01/01/1900;;1;1;;;;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;;CFICode;TCXXXX;Ric;EURCHF=;FutUnd;;RefBid;1.07540000;RefAsk;1.07570000;RefMid;1.07555000;ClsBid;1.07440000;ClsAsk;1.07440000;ClsMid;1.07440000;Lsize;;MIC;XXXX;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Currencies-Referential Instruments-Currencies;;EUR/DKK;;DKK;;;n.a.;01/01/1900;;1;1;;;;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;;CFICode;TCXXXX;Ric;EURDKK=;FutUnd;;RefBid;7.44350000;RefAsk;7.44400000;RefMid;7.44375000;ClsBid;7.44320000;ClsAsk;7.44320000;ClsMid;7.44320000;Lsize;;MIC;XXXX;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Currencies-Referential Instruments-Currencies;;EUR/GBP;;GBP;;;n.a.;01/01/1900;;1;1;;;;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;;CFICode;TCXXXX;Ric;EURGBP=;FutUnd;;RefBid;0.89160000;RefAsk;0.89200000;RefMid;0.89180000;ClsBid;0.89540000;ClsAsk;0.89540000;ClsMid;0.89540000;Lsize;;MIC;XXXX;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Currencies-Referential Instruments-Currencies;;EUR/HKD;;HKD;;;n.a.;01/01/1900;;1;1;;;;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;;CFICode;TCXXXX;Ric;EURHKD=;FutUnd;;RefBid;9.22190000;RefAsk;9.22570000;RefMid;9.22380000;ClsBid;9.15870000;ClsAsk;9.15870000;ClsMid;9.15870000;Lsize;;MIC;XXXX;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Currencies-Referential Instruments-Currencies;;EUR/JPY;;JPY;;;n.a.;01/01/1900;;1;1;;;;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;;CFICode;TCXXXX;Ric;EURJPY=;FutUnd;;RefBid;125.26000000;RefAsk;125.30000000;RefMid;125.28000000;ClsBid;125.96000000;ClsAsk;125.96000000;ClsMid;125.96000000;Lsize;;MIC;XXXX;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Currencies-Referential Instruments-Currencies;;EUR/NOK;;NOK;;;n.a.;01/01/1900;;1;1;;;;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;;CFICode;TCXXXX;Ric;EURNOK=;FutUnd;;RefBid;10.46500000;RefAsk;10.46650000;RefMid;10.46575000;ClsBid;10.53700000;ClsAsk;10.53700000;ClsMid;10.53700000;Lsize;;MIC;XXXX;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Currencies-Referential Instruments-Currencies;;EUR/SEK;;SEK;;;n.a.;01/01/1900;;1;1;;;;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;;CFICode;TCXXXX;Ric;EURSEK=;FutUnd;;RefBid;10.27600000;RefAsk;10.28050000;RefMid;10.27825000;ClsBid;10.31560000;ClsAsk;10.31560000;ClsMid;10.31560000;Lsize;;MIC;XXXX;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Currencies-Referential Instruments-Currencies;;EUR/USD;;USD;;;n.a.;01/01/1900;;1;1;;;1.19005000;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;;CFICode;TCXXXX;Ric;EUR=;FutUnd;;RefBid;1.18990000;RefAsk;1.19020000;RefMid;1.19005000;ClsBid;1.18210000;ClsAsk;1.18210000;ClsMid;1.18210000;Lsize;;MIC;XXXX;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Currencies-Referential Instruments-Currencies;;GBP/USD;;USD;;;n.a.;01/01/1900;;1;1;;;;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;;CFICode;TCXXXX;Ric;GBP=;FutUnd;;RefBid;1.33440000;RefAsk;1.33470000;RefMid;1.33455000;ClsBid;1.31980000;ClsAsk;1.31980000;ClsMid;1.31980000;Lsize;;MIC;XXXX;;;;;;;;;
