NomePortafoglio;CodiceISIN;UnderlyingName;ContractName;ExpiryDate;ContractKind;Rhoofposition;StrikePrice;NumberofContracts;Deltaofposition;Gammaofposition;Delta1;Multiplier;ContractCurrency;UpDelta1;DownDelta1;Thetaofposition;MarketPriceofContract;TheoreticalValueofContract;ActVol;ActFR;Vegaofposition;Investedofposition;Valueofpositionmarket;Totalresultofpositionmktth;PLDeskoperatore;Totalresultofpositiontheoretical;Feespaidforposition;ExecutionType;CustomKind;TheoreticalModel;Feedcode;PriceMultiplier;InstrumentTag;PositionCurrency;SettlementStyle;PrimaryMarketforContract;Rho1;CompositeTag;Accruedinterestofposition
VOL_STCK_AA_PR;;SD3E;SD3E MAR26 C0 BOND;2026-03-26;Call;-283118.75766;0.00010;-40584;-4035.78529;0.00000;-585552.08833;1.00000;EUR;0;0;282.93888;;1174.11819;38.72623;-0.33350;0.00000;;;;-47649944.54177;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;11697eae-e03c-11e9-a220-4100c975c478;EUR;Cash;XXXX;2881.85;4ce5bcc4-e59e-11e9-8320-5149c5b639d8;0
VOL_STCK_AA_PR;;SD3E;SD3E MAR26 C100 BOND;2026-03-26;Call;436356.08488;1957.22000;40584;625.37661;2.15120;90735.89279;1.00000;EUR;0;0;-1833.82917;;30.65073;16.06792;-0.33350;267462.64193;;;;1243917.10337;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;116a9bf4-e03c-11e9-a220-4100c975c478;EUR;Cash;XXXX;-3866.58;4ce5bcc4-e59e-11e9-8320-5149c5b639d8;0
VOL_STCK_AA_PR;;SD3E;SD3E MAR26 P100 BOND;2026-03-26;Put;3925719.59787;1957.22000;-40584;3410.40868;-2.15120;494816.19554;1.00000;EUR;0;0;-1855.80984;;709.08270;16.06792;-0.33350;-267462.64193;;;;-28777129.61352;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;116ac020-e03c-11e9-a220-4100c975c478;EUR;Cash;XXXX;-40964.8;4ce5bcc4-e59e-11e9-8320-5149c5b639d8;0
VOL_STCK_AA_PR;;SD3E;SD3E MAR26 CATM;2026-03-26;Call;-318301.91825;1957.22000;-40584;-444.25435;-1.70928;-64456.86360;1.00000;EUR;0;0;1123.38177;;20.20753;16.06792;-0.33350;-209898.24904;;;;-820094.44193;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;116c52b4-e03c-11e9-a220-4100c975c478;EUR;Cash;XXXX;2776.17;4ce5bcc4-e59e-11e9-8320-5149c5b639d8;0
VOL_STCK_AA_PR;;SD3E;SD3E MAR26 CCAP;2026-03-26;Call;61581.33378;2681.39100;40584;77.67090;0.42785;11269.27025;1.00000;EUR;0;0;-282.82973;;2.74361;15.98993;-0.33350;52284.72365;;;;111345.70586;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;116c6fb0-e03c-11e9-a220-4100c975c478;EUR;Cash;XXXX;-502.943;4ce5bcc4-e59e-11e9-8320-5149c5b639d8;0
VOL_STCK_AA_PR;;SD3E;SD3E NOV26 P90;2026-11-18;Put;3453017.15375;1865.03400;-30583;2610.94091;-1.47265;378821.41595;1.00000;EUR;0;0;1313.53025;;795.72043;16.25037;-0.38640;-192992.70541;;;;-24335549.26130;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;1b67ad54-0c3d-11ea-a960-70eafec178a3;EUR;Cash;XXXX;-36113.5;1e71042e-1132-11ea-95c0-9c8971a2b88b;0
VOL_STCK_AA_PR;;SD3E;SD3E JUN19 BDT C66.66 4Y;2023-06-22;Call;-98761.99540;1277.96000;-5632;-315.68486;-0.52257;-45802.71687;1.00000;EUR;0;0;576.60934;;166.40854;19.58654;-0.39643;-47988.28617;;;;-937184.28955;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;25ba7e5c-9885-11e9-aad0-484e8dce6db3;EUR;Cash;XXXX;961.654;0a62975c-9ee8-11e9-a820-613b1ee7f531;0
VOL_STCK_AA_PR;;SD3E;SD3E JUN19 BDT C66.66 5Y;2024-06-24;Call;-121592.75690;1277.96000;-5632;-291.32247;-0.49357;-42267.97649;1.00000;EUR;0;0;468.99411;;154.07527;18.71309;-0.39643;-54111.75876;;;;-867725.45892;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;25bac6fa-9885-11e9-aad0-484e8dce6db3;EUR;Cash;XXXX;1172.15;0a62975c-9ee8-11e9-a820-613b1ee7f531;0
VOL_STCK_AA_PR;;SD3E;SD3E JUN19 BDT C66.66 6Y;2025-06-24;Call;-141381.99225;1277.96000;-5632;-272.58988;-0.46951;-39550.06591;1.00000;EUR;0;0;389.90418;;144.07793;18.25787;-0.39643;-58254.05869;;;;-811422.16221;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;25baeefa-9885-11e9-aad0-484e8dce6db3;EUR;Cash;XXXX;1349.63;0a62975c-9ee8-11e9-a820-613b1ee7f531;0
VOL_STCK_AA_PR;;SD3E;SD3E JUN19 BDT C66.66 7Y;2026-06-24;Call;-159979.32518;1277.96000;-5632;-261.46183;-0.44160;-37935.49678;1.00000;EUR;0;0;342.32205;;140.81478;18.26949;-0.39643;-61422.63797;;;;-793044.66450;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;25bb16c8-9885-11e9-aad0-484e8dce6db3;EUR;Cash;XXXX;1515.84;0a62975c-9ee8-11e9-a820-613b1ee7f531;0
VOL_STCK_AA_PR;;SD3E;SD3E JUN19 BDT C0 BOND;2026-06-24;Call;-988779.08868;0.00010;-118815;-11812.55446;0.00000;-1713883.52612;1.00000;EUR;0;0;1006.14731;;1149.30372;38.56936;-0.39643;0.00000;;;;-136554455.15164;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;25bb6984-9885-11e9-aad0-484e8dce6db3;EUR;Cash;XXXX;10082.4;0a62975c-9ee8-11e9-a820-613b1ee7f531;0
VOL_STCK_AA_PR;;SD3E;EPC SD3E NOV26 CNP 3Y FLOOR;2022-11-22;Call;-36562.97077;0.00010;-30583;-3058.30394;0.00000;-443729.31923;1.00000;EUR;0;0;-86.38168;;1339.47641;49.02483;-0.38640;0.00000;;;;-40965259.80839;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;25fb6804-0c3e-11ea-a960-70eafec178a3;EUR;Cash;XXXX;368.2;1e71042e-1132-11ea-95c0-9c8971a2b88b;0
VOL_STCK_AA_PR;;SD3E;SD3E NOV26 CCAP;2026-11-18;Call;54534.70950;2735.38320;30583;62.13850;0.32784;9015.67441;1.00000;EUR;0;0;-208.65858;;3.01187;16.10428;-0.38640;42577.09794;;;;92112.20229;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;28e7bfaa-0c3d-11ea-a960-70eafec178a3;EUR;Cash;XXXX;-440.539;1e71042e-1132-11ea-95c0-9c8971a2b88b;0
VOL_STOCK_SS_PR;;ENI;EPC ENI SEP25 CATM;2025-09-26;Call;-75143.63392;14.00730;-4418757;-210422.61401;-160059.80053;-16754.90064;1.00000;EUR;0;0;452.28479;;0.04617;20.22664;-0.35262;-59341.94678;;;;-204015.12164;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;32c6e0fc-e035-11e9-a220-4100c975c478;EUR;Cash;XXXX;655.729;f7a040fe-e8c2-11e9-be00-99ca1348f039;0
VOL_STOCK_SS_PR;;ENI;EPC ENI SEP25 PATM;2025-09-26;Put;-3286599.16139;14.00730;4418757;-4208334.47209;160059.80053;-335088.63234;1.00000;EUR;0;0;-850.50426;;8.28257;20.22664;-0.35262;59341.94678;;;;36598661.75664;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;32c6fc2c-e035-11e9-a220-4100c975c478;EUR;Cash;XXXX;33814.7;f7a040fe-e8c2-11e9-be00-99ca1348f039;0
VOL_STOCK_SS_PR;;ENI;EPC ENI SEP25 P95;2025-09-26;Put;3107708.77399;13.30700;-4418757;4139341.69175;-197538.76876;329595.08221;1.00000;EUR;0;0;959.44250;;7.58804;20.50542;-0.35262;-74246.60690;;;;-33529696.46898;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;32c72dbe-e035-11e9-a220-4100c975c478;EUR;Cash;XXXX;-32005.6;f7a040fe-e8c2-11e9-be00-99ca1348f039;0
VOL_STOCK_SS_PR;;ENI;EPC ENI SEP25 C130;2025-09-26;Call;15932.84266;18.20950;4418757;41160.55235;42031.77840;3277.40898;1.00000;EUR;0;0;-110.29252;;0.00726;19.45112;-0.35262;14985.73597;;;;32064.41443;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;32c74e0c-e035-11e9-a220-4100c975c478;EUR;Cash;XXXX;-132.182;f7a040fe-e8c2-11e9-be00-99ca1348f039;0
VOL_STOCK_IDX_PR;;SPX;SPX MAY24 C0 BOND;2024-05-29;Call;-9893.14068;0.00010;-4247;-84.93997;0.00000;-148151.23155;1.00000;USD;0;0;-207.37640;;3363.63740;41.70363;1.60076;0.00000;;;;-14285362.76105;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;35438966-85a9-11e9-bc50-d8e42f759887;USD;Cash;XXXX;100.195;d5b670e4-88cd-11e9-8d60-1c1d03a602f1;0
VOL_STOCK_IDX_PR;;SPX;SPX MAY24 C100 BOND;2024-05-29;Call;267996.30633;2752.06000;4247;66.68671;0.01567;116314.12229;1.00000;USD;0;0;-1204.81062;;1021.16347;24.52945;1.60076;80088.63223;;;;4336879.66316;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;3543a9f0-85a9-11e9-bc50-d8e42f759887;USD;Cash;XXXX;-2665.99;d5b670e4-88cd-11e9-8d60-1c1d03a602f1;0
VOL_STOCK_IDX_PR;;SPX;SPX MAY24 CCAP;2024-05-29;Call;170889.90985;4073.04900;4247;31.64213;0.02660;55189.80582;1.00000;USD;0;0;-984.56737;;257.60339;18.72061;1.60076;103731.16165;;;;1094041.20536;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;3571e888-85a9-11e9-bc50-d8e42f759887;USD;Cash;XXXX;-1627.76;d5b670e4-88cd-11e9-8d60-1c1d03a602f1;0
