VERSION;REFERENCE_DATE;STRUCTURE_DATE;MARKET_PARAMETER_SET;TRADING_SYSTEM;SOURCE;ASSET_CLASS;RISK_FACTOR;MARKET_PARAMETER_TYPE;MARKET_PARAMETER_SUBTYPE;MARKET_PARAMETER_CLASSIFICATION;UNDERLYING;UNDERLYING_BREAKDOWN;CURRENCY;CURRENCY_BREAKDOWN;START_DATE;MATURITY_LABEL;MATURITY_DATE;STRIKE;MARKET_PARAMETER_MULT_1;MARKET_PARAMETER_MULT_2;CONVERSION_FACTOR;TIME_FACTOR;MARKET_PARAMETER_VALUE;PARAMSET_NAME1;PARAMSET_VALUE1;PARAMSET_NAME2;PARAMSET_VALUE2;PARAMSET_NAME3;PARAMSET_VALUE3;PARAMSET_NAME4;PARAMSET_VALUE4;PARAMSET_NAME5;PARAMSET_VALUE5;PARAMSET_NAME6;PARAMSET_VALUE6;PARAMSET_NAME7;PARAMSET_VALUE7;PARAMSET_NAME8;PARAMSET_VALUE8;LINEAR_BREAKDOWN_NAME1;LINEAR_BREAKDOWN_VALUE1;LINEAR_BREAKDOWN_NAME2;LINEAR_BREAKDOWN_VALUE2;LINEAR_BREAKDOWN_NAME3;LINEAR_BREAKDOWN_VALUE3;LINEAR_BREAKDOWN_NAME4;LINEAR_BREAKDOWN_VALUE4;LINEAR_BREAKDOWN_NAME5;LINEAR_BREAKDOWN_VALUE5;LINEAR_BREAKDOWN_NAME6;LINEAR_BREAKDOWN_VALUE6;LINEAR_BREAKDOWN_NAME7;LINEAR_BREAKDOWN_VALUE7;LINEAR_BREAKDOWN_NAME8;LINEAR_BREAKDOWN_VALUE8;PORTFOLIO;TRANSACTION_TYPE;TYPOLOGY;INSTRUMENT;TRADE_ID;MODEL;INSTRUMENT_MATURITY_DATE;UNDERLYING_MATURITY_DATE;POSITION_STRIKE
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;RpMrgn;;;;3150EUE ITA;;;;;2020-12-18;18/12/2020;;;;;;0.03500000;RefBid;0.03500000;RefAsk;0.03500000;DysTMtrty;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;RpMrgn;;;;3150EUE ITA;;;;;2020-04-19;19/04/2020;;;;;;0.02647425;RefBid;0.02647425;RefAsk;0.02647425;DysTMtrty;-131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;RpMrgn;;;;3150EUE ITA;;;;;2021-12-19;19/12/2021;;;;;;0.03500000;RefBid;0.03500000;RefAsk;0.03500000;DysTMtrty;478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;RpMrgn;;;;3150EUE ITA;;;;;2020-03-20;20/03/2020;;;;;;0.02000000;RefBid;0.02000000;RefAsk;0.02000000;DysTMtrty;-161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;RpMrgn;;;;3150EUE ITA;;;;;2021-06-20;20/06/2021;;;;;;0.03500000;RefBid;0.03500000;RefAsk;0.03500000;DysTMtrty;296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;RpMrgn;;;;3150EUE ITA;;;;;2019-09-20;20/09/2019;;;;;;0.00000000;RefBid;0.00000000;RefAsk;0.00000000;DysTMtrty;-343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;RpMrgn;;;;3150EUE ITA;;;;;2020-09-20;20/09/2020;;;;;;0.03390643;RefBid;0.03390643;RefAsk;0.03390643;DysTMtrty;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;RpMrgn;;;;3150EUE ITA;;;;;2019-12-20;20/12/2019;;;;;;0.06000000;RefBid;0.06000000;RefAsk;0.06000000;DysTMtrty;-252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;RpMrgn;;;;3150EUE ITA;;;;;2020-12-20;20/12/2020;;;;;;0.03500000;RefBid;0.03500000;RefAsk;0.03500000;DysTMtrty;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;RpMrgn;;;;3150EUE ITA;;;;;2020-06-21;21/06/2020;;;;;;0.03140975;RefBid;0.03140975;RefAsk;0.03140975;DysTMtrty;-68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
