VERSION;REFERENCE_DATE;STRUCTURE_DATE;MARKET_PARAMETER_SET;TRADING_SYSTEM;SOURCE;ASSET_CLASS;RISK_FACTOR;MARKET_PARAMETER_TYPE;MARKET_PARAMETER_SUBTYPE;MARKET_PARAMETER_CLASSIFICATION;UNDERLYING;UNDERLYING_BREAKDOWN;CURRENCY;CURRENCY_BREAKDOWN;START_DATE;MATURITY_LABEL;MATURITY_DATE;STRIKE;MARKET_PARAMETER_MULT_1;MARKET_PARAMETER_MULT_2;CONVERSION_FACTOR;TIME_FACTOR;MARKET_PARAMETER_VALUE;PARAMSET_NAME1;PARAMSET_VALUE1;PARAMSET_NAME2;PARAMSET_VALUE2;PARAMSET_NAME3;PARAMSET_VALUE3;PARAMSET_NAME4;PARAMSET_VALUE4;PARAMSET_NAME5;PARAMSET_VALUE5;PARAMSET_NAME6;PARAMSET_VALUE6;PARAMSET_NAME7;PARAMSET_VALUE7;PARAMSET_NAME8;PARAMSET_VALUE8;LINEAR_BREAKDOWN_NAME1;LINEAR_BREAKDOWN_VALUE1;LINEAR_BREAKDOWN_NAME2;LINEAR_BREAKDOWN_VALUE2;LINEAR_BREAKDOWN_NAME3;LINEAR_BREAKDOWN_VALUE3;LINEAR_BREAKDOWN_NAME4;LINEAR_BREAKDOWN_VALUE4;LINEAR_BREAKDOWN_NAME5;LINEAR_BREAKDOWN_VALUE5;LINEAR_BREAKDOWN_NAME6;LINEAR_BREAKDOWN_VALUE6;LINEAR_BREAKDOWN_NAME7;LINEAR_BREAKDOWN_VALUE7;LINEAR_BREAKDOWN_NAME8;LINEAR_BREAKDOWN_VALUE8;PORTFOLIO;TRANSACTION_TYPE;TYPOLOGY;INSTRUMENT;TRADE_ID;MODEL;INSTRUMENT_MATURITY_DATE;UNDERLYING_MATURITY_DATE;POSITION_STRIKE
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;A2A;;EUR;;;21;18/09/2020;1.10000000;;;;;31.41659453;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;28.77019043;SprdVol;2.64640410;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;A2A;;EUR;;;112;18/12/2020;1.30000000;;;;;27.20386453;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;28.30282042;SprdVol;-1.09895589;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;AAPL;;USD;;;49;16/10/2020;425.00000000;;;;;45.13091383;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;43.93339797;SprdVol;1.19751585;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;AAPL;;USD;;;49;16/10/2020;450.00000000;;;;;44.07864368;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;43.93339797;SprdVol;0.14524571;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;AAPL;;USD;;;21;18/09/2020;470.00000000;;;;;45.54449597;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;45.47539096;SprdVol;0.06910500;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;AGL;;EUR;;;21;18/09/2020;4.60000000;;;;;36.09525595;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;37.22034476;SprdVol;-1.12508881;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;AGL;;EUR;;;21;18/09/2020;5.00000000;;;;;35.30640396;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;37.22034476;SprdVol;-1.91394079;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;AGL;;EUR;;;21;18/09/2020;5.20000000;;;;;35.41620192;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;37.22034476;SprdVol;-1.80414283;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;AGL;;EUR;;;21;18/09/2020;5.40000000;;;;;35.81230905;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;37.22034476;SprdVol;-1.40803570;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;AGL;;EUR;;;21;18/09/2020;5.60000000;;;;;36.46352229;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;37.22034476;SprdVol;-0.75682247;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;ALV;;EUR;;;185;01/03/2021;200.00000000;;;;;23.25442460;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;;SprdVol;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;ALV;;EUR;;;10;07/09/2020;260.00000000;;;;;39.03174481;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;;SprdVol;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;ALV;;EUR;;;101;07/12/2020;270.00000000;;;;;28.59880528;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;;SprdVol;;;;;;;;;;;;;;;;;;;;;;
1.0;28/08/2020;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;;;ALV;;EUR;;;476;17/12/2021;100.00000000;;;;;36.30705419;CPFlg;Y;OptType;B;;;;;;;;;;;;;ATMVol;;SprdVol;;;;;;;;;;;;;;;;;;;;;;
