VERSION;REFERENCE_DATE;MEASURE_SET;TRADING_SYSTEM;SOURCE;ASSET_CLASS;RISK_FACTOR;MARKET_PARAMETER_TYPE;MEASURE_TYPE;MEASURE_NAME;STRUCTURE_LABEL;ENTITY;PORTFOLIO;TRANSACTION_TYPE;TYPOLOGY;INSTRUMENT;TRADE_ID;MODEL;INSTRUMENT_MATURITY_LABEL;INSTRUMENT_MATURITY_DATE;UNDERLYING_MATURITY_LABEL;UNDERLYING_MATURITY_DATE;STRIKE;UNDERLYING1_FATHER;UNDERLYING1;MATURITY1_LABEL;MATURITY1_DATE;STRIKE1;UNDERLYING2_FATHER;UNDERLYING2;MATURITY2_LABEL;MATURITY2_DATE;STRIKE2;MEASURE_CURRENCY;MEASURE_VALUE;MEASURE_MULTIPLIER;PARAMSET_NAME1;PARAMSET_VALUE1;PARAMSET_NAME2;PARAMSET_VALUE2;PARAMSET_NAME3;PARAMSET_VALUE3;PARAMSET_NAME4;PARAMSET_VALUE4;PARAMSET_NAME5;PARAMSET_VALUE5;PARAMSET_NAME6;PARAMSET_VALUE6;PARAMSET_NAME7;PARAMSET_VALUE7;PARAMSET_NAME8;PARAMSET_VALUE8
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;AA;Equities-Equities-Common/Ordinary shares;LISTED;ENEL;31782048-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;;;;;;;;;;EUR;0;;InstrFthr;ENEL;Mkt;MTAA;Sign;S;InitQty;-0.09300000;Qty;-0.09300000;DlPrc;3.14400000;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193040
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;AA;Equities-Futures-Financial Futures;LISTED;FDAX 202009;31796f84-e954-11ea-a590-49499a438f10;FUTURE_DIV_FORWARD;SEP 20;18/09/2020;;;;;;;;;;;;;;EUR;0;;InstrFthr;FDAX 202009;Mkt;XEUR;Sign;S;InitQty;-54.00000000;Qty;-54.00000000;DlPrc;12494.80555556;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193040
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;AA;Equities-Futures-Financial Futures;LISTED;FDAX 202009;3179718c-e954-11ea-a590-49499a438f10;FUTURE_DIV_FORWARD;SEP 20;18/09/2020;;;;;;;;;;;;;;EUR;0;;InstrFthr;FDAX 202009;Mkt;XEUR;Sign;B;InitQty;43.00000000;Qty;43.00000000;DlPrc;12807.25581395;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193040
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;AA;Equities-Futures-Financial Futures;LISTED;FEDV 202009;31782728-e954-11ea-a590-49499a438f10;FUTURE_DIV_FORWARD;SEP 20;18/09/2020;;;;;;;;;;;;;;EUR;0;;InstrFthr;FEDV 202009;Mkt;XEUR;Sign;B;InitQty;500.00000000;Qty;500.00000000;DlPrc;1422.25200000;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193040
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;AA;Equities-Futures-Financial Futures;LISTED;FEXD 202412;3178da10-e954-11ea-a590-49499a438f10;FUTURE_DIV_FORWARD;DEC 24;20/12/2024;;;;;;;;;;;;;;EUR;0;;InstrFthr;FEXD 202412;Mkt;XEUR;Sign;B;InitQty;49.00000000;Qty;49.00000000;DlPrc;110.40000000;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193040
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;AA;Equities-Miscellaneous-Combined Instruments;LISTED;CERT SD3E APR26 BDT;31782e1c-e954-11ea-a590-49499a438f10;COMBINATION;APR 21;26/04/2021;;;0.00000000;;;;;;;;;;;EUR;0;;InstrFthr;CERT SD3E APR26 BDT;Mkt;SEDX;Sign;S;InitQty;-282563.00000000;Qty;-282563.00000000;DlPrc;1021.44611758;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193040
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;AA;Equities-Miscellaneous-Combined Instruments;LISTED;CERT SD3E APR26 BDT;317831fa-e954-11ea-a590-49499a438f10;COMBINATION;APR 21;26/04/2021;;;0.00000000;;;;;;;;;;;EUR;0;;InstrFthr;CERT SD3E APR26 BDT;Mkt;SEDX;Sign;B;InitQty;282563.00000000;Qty;282563.00000000;DlPrc;947.77817711;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193040
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;AA;Equities-Miscellaneous-Combined Instruments;LISTED;CERT SD3E NOV25 BDT;317a159c-e954-11ea-a590-49499a438f10;COMBINATION;NOV 20;24/11/2020;;;0.00000000;;;;;;;;;;;EUR;0;;InstrFthr;CERT SD3E NOV25 BDT;Mkt;ETLX;Sign;S;InitQty;-101655.00000000;Qty;-101655.00000000;DlPrc;1089.52111897;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193040
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;AA;Equities-Miscellaneous-Combined Instruments;LISTED;CERT SD3E NOV25 BDT;317a1966-e954-11ea-a590-49499a438f10;COMBINATION;NOV 20;24/11/2020;;;0.00000000;;;;;;;;;;;EUR;0;;InstrFthr;CERT SD3E NOV25 BDT;Mkt;ETLX;Sign;B;InitQty;101655.00000000;Qty;101655.00000000;DlPrc;1006.42831893;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193040
2.0;28/08/2020;Ref;TBRX;SSL;Trd;NewDealAm;CREATED;P&L;Frev;;BANCA IMI;AA;Equities-Miscellaneous-Combined Instruments;LISTED;EP SD3E FEB23 FID;31795da0-e954-11ea-a590-49499a438f10;COMBINATION;FEB 23;27/02/2023;;;0.00000000;;;;;;;;;;;EUR;0;;InstrFthr;EP SD3E FEB23 FID;Mkt;SEDX;Sign;S;InitQty;-68464.00000000;Qty;-68464.00000000;DlPrc;1051.65517080;LstMdfr;U0J4213;Ctp|InsDt|LastEvntDt|SrcCmnt|TrdDt|TrdTm;|28/08/2020|28/08/2020||28/08/2020|193040
