VERSION;REFERENCE_DATE;MEASURE_SET;TRADING_SYSTEM;SOURCE;ASSET_CLASS;RISK_FACTOR;MARKET_PARAMETER_TYPE;MEASURE_TYPE;MEASURE_NAME;STRUCTURE_LABEL;ENTITY;PORTFOLIO;TRANSACTION_TYPE;TYPOLOGY;INSTRUMENT;TRADE_ID;MODEL;INSTRUMENT_MATURITY_LABEL;INSTRUMENT_MATURITY_DATE;UNDERLYING_MATURITY_LABEL;UNDERLYING_MATURITY_DATE;STRIKE;UNDERLYING1_FATHER;UNDERLYING1;MATURITY1_LABEL;MATURITY1_DATE;STRIKE1;UNDERLYING2_FATHER;UNDERLYING2;MATURITY2_LABEL;MATURITY2_DATE;STRIKE2;MEASURE_CURRENCY;MEASURE_VALUE;MEASURE_MULTIPLIER;PARAMSET_NAME1;PARAMSET_VALUE1;PARAMSET_NAME2;PARAMSET_VALUE2;PARAMSET_NAME3;PARAMSET_VALUE3;PARAMSET_NAME4;PARAMSET_VALUE4;PARAMSET_NAME5;PARAMSET_VALUE5;PARAMSET_NAME6;PARAMSET_VALUE6;PARAMSET_NAME7;PARAMSET_VALUE7;PARAMSET_NAME8;PARAMSET_VALUE8
2.0;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;1st;Vega;;BANCA IMI;AA;Equities-Options-Call;LISTED;CERT SD3E APR26 BDT C100 BOND;31782e1c-e954-11ea-a590-49499a438f10;EUROPEAN_ESCROWED_DIVIDEND;APR 26;28/04/2026;;;2045.32000000;;SD3E;n.a.;28/04/2026;2045.32000000;;;;;;EUR;800352.94026798;;ImpldVol;16.02863084;InstrFthr;CERT SD3E APR26 BDT;;;;;;;;;;;;
2.0;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;1st;Vega;;BANCA IMI;AA;Equities-Options-Call;LISTED;CERT SD3E APR26 BDT C100 BOND;317831fa-e954-11ea-a590-49499a438f10;EUROPEAN_ESCROWED_DIVIDEND;APR 26;28/04/2026;;;2045.32000000;;SD3E;n.a.;28/04/2026;2045.32000000;;;;;;EUR;-800352.94026798;;ImpldVol;16.02863084;InstrFthr;CERT SD3E APR26 BDT;;;;;;;;;;;;
2.0;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;1st;Vega;;BANCA IMI;AA;Equities-Options-Call;LISTED;CERT SD3E APR26 BDT C66.66 2Y;31782e1c-e954-11ea-a590-49499a438f10;EUROPEAN_ESCROWED_DIVIDEND;APR 21;26/04/2021;;;1363.55350000;;SD3E;n.a.;26/04/2021;1363.55350000;;;;;;EUR;-30730.50125113;;ImpldVol;23.12781907;InstrFthr;CERT SD3E APR26 BDT;;;;;;;;;;;;
2.0;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;1st;Vega;;BANCA IMI;AA;Equities-Options-Call;LISTED;CERT SD3E APR26 BDT C66.66 2Y;317831fa-e954-11ea-a590-49499a438f10;EUROPEAN_ESCROWED_DIVIDEND;APR 21;26/04/2021;;;1363.55350000;;SD3E;n.a.;26/04/2021;1363.55350000;;;;;;EUR;30730.50125113;;ImpldVol;23.12781907;InstrFthr;CERT SD3E APR26 BDT;;;;;;;;;;;;
2.0;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;1st;Vega;;BANCA IMI;AA;Equities-Options-Call;LISTED;CERT SD3E APR26 BDT C66.66 3Y;31782e1c-e954-11ea-a590-49499a438f10;EUROPEAN_ESCROWED_DIVIDEND;APR 22;26/04/2022;;;1363.55350000;;SD3E;n.a.;26/04/2022;1363.55350000;;;;;;EUR;-48930.44394404;;ImpldVol;19.86093478;InstrFthr;CERT SD3E APR26 BDT;;;;;;;;;;;;
2.0;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;1st;Vega;;BANCA IMI;AA;Equities-Options-Call;LISTED;CERT SD3E APR26 BDT C66.66 3Y;317831fa-e954-11ea-a590-49499a438f10;EUROPEAN_ESCROWED_DIVIDEND;APR 22;26/04/2022;;;1363.55350000;;SD3E;n.a.;26/04/2022;1363.55350000;;;;;;EUR;48930.44394404;;ImpldVol;19.86093478;InstrFthr;CERT SD3E APR26 BDT;;;;;;;;;;;;
2.0;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;1st;Vega;;BANCA IMI;AA;Equities-Options-Call;LISTED;CERT SD3E APR26 BDT C66.66 4Y;31782e1c-e954-11ea-a590-49499a438f10;EUROPEAN_ESCROWED_DIVIDEND;APR 23;25/04/2023;;;1363.55350000;;SD3E;n.a.;25/04/2023;1363.55350000;;;;;;EUR;-59954.11051320;;ImpldVol;18.68652614;InstrFthr;CERT SD3E APR26 BDT;;;;;;;;;;;;
2.0;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;1st;Vega;;BANCA IMI;AA;Equities-Options-Call;LISTED;CERT SD3E APR26 BDT C66.66 4Y;317831fa-e954-11ea-a590-49499a438f10;EUROPEAN_ESCROWED_DIVIDEND;APR 23;25/04/2023;;;1363.55350000;;SD3E;n.a.;25/04/2023;1363.55350000;;;;;;EUR;59954.11051320;;ImpldVol;18.68652614;InstrFthr;CERT SD3E APR26 BDT;;;;;;;;;;;;
2.0;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;1st;Vega;;BANCA IMI;AA;Equities-Options-Call;LISTED;CERT SD3E APR26 BDT C66.66 5Y;31782e1c-e954-11ea-a590-49499a438f10;EUROPEAN_ESCROWED_DIVIDEND;APR 24;24/04/2024;;;1363.55350000;;SD3E;n.a.;24/04/2024;1363.55350000;;;;;;EUR;-67044.18076771;;ImpldVol;18.05174355;InstrFthr;CERT SD3E APR26 BDT;;;;;;;;;;;;
2.0;28/08/2020;EoD;TBRX;SSL;Eq;EqVol;PricVol;1st;Vega;;BANCA IMI;AA;Equities-Options-Call;LISTED;CERT SD3E APR26 BDT C66.66 5Y;317831fa-e954-11ea-a590-49499a438f10;EUROPEAN_ESCROWED_DIVIDEND;APR 24;24/04/2024;;;1363.55350000;;SD3E;n.a.;24/04/2024;1363.55350000;;;;;;EUR;67044.18076771;;ImpldVol;18.05174355;InstrFthr;CERT SD3E APR26 BDT;;;;;;;;;;;;
