VERSION;REFERENCE_DATE;MEASURE_SET;TRADING_SYSTEM;SOURCE;ASSET_CLASS;RISK_FACTOR;MARKET_PARAMETER_TYPE;MEASURE_TYPE;MEASURE_NAME;STRUCTURE_LABEL;ENTITY;PORTFOLIO;TRANSACTION_TYPE;TYPOLOGY;INSTRUMENT;TRADE_ID;MODEL;INSTRUMENT_MATURITY_LABEL;INSTRUMENT_MATURITY_DATE;UNDERLYING_MATURITY_LABEL;UNDERLYING_MATURITY_DATE;STRIKE;UNDERLYING1_FATHER;UNDERLYING1;MATURITY1_LABEL;MATURITY1_DATE;STRIKE1;UNDERLYING2_FATHER;UNDERLYING2;MATURITY2_LABEL;MATURITY2_DATE;STRIKE2;MEASURE_CURRENCY;MEASURE_VALUE;MEASURE_MULTIPLIER;PARAMSET_NAME1;PARAMSET_VALUE1;PARAMSET_NAME2;PARAMSET_VALUE2;PARAMSET_NAME3;PARAMSET_VALUE3;PARAMSET_NAME4;PARAMSET_VALUE4;PARAMSET_NAME5;PARAMSET_VALUE5;PARAMSET_NAME6;PARAMSET_VALUE6;PARAMSET_NAME7;PARAMSET_VALUE7;PARAMSET_NAME8;PARAMSET_VALUE8
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;ATLAS COPCO A;;;;;;;;;EUR/SEK;O/N;29/08/2020;;;;;;;SEK;3569.36453700;;DeltaType;SPOT;FlowNF;0.00000000;IntCtpFlg;N;PosCfID;ALPHA_SHORT | ATLAS COPCO A;InstrFthr;;CshFlwTp;FINANCING;Isin;SE0011166610;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;ATLAS COPCO A;31b10a02-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;EUR/SEK;O/N;29/08/2020;;;;;;;SEK;11703000.00000000;;DeltaType;SPOT;FlowNF;11703000.00000000;IntCtpFlg;N;PosCfID;;InstrFthr;;CshFlwTp;;Isin;SE0011166610;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;ATLAS COPCO A;31b10e58-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;EUR/SEK;O/N;29/08/2020;;;;;;;SEK;6367113.20000000;;DeltaType;SPOT;FlowNF;6367113.20000000;IntCtpFlg;N;PosCfID;;InstrFthr;;CshFlwTp;;Isin;SE0011166610;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;ATLAS COPCO A;31b1106a-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;EUR/SEK;O/N;29/08/2020;;;;;;;SEK;-17299483.60000000;;DeltaType;SPOT;FlowNF;-17299483.60000000;IntCtpFlg;N;PosCfID;;InstrFthr;;CshFlwTp;;Isin;SE0011166610;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;BOEING USD;;;;;;;;;EUR/USD;O/N;29/08/2020;;;;;;;USD;-123.10099100;;DeltaType;SPOT;FlowNF;0.00000000;IntCtpFlg;N;PosCfID;ALPHA_SHORT | BOEING USD;InstrFthr;;CshFlwTp;FINANCING;Isin;US0970231058;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;BOEING USD;31b105a2-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;EUR/USD;O/N;29/08/2020;;;;;;;USD;610033.05000000;;DeltaType;SPOT;FlowNF;610033.05000000;IntCtpFlg;N;PosCfID;;InstrFthr;;CshFlwTp;;Isin;US0970231058;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;BOEING USD;31b11b3c-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;EUR/USD;O/N;29/08/2020;;;;;;;USD;-660311.40000000;;DeltaType;SPOT;FlowNF;-660311.40000000;IntCtpFlg;N;PosCfID;;InstrFthr;;CshFlwTp;;Isin;US0970231058;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;DKSH N;;;;;;;;;EUR/CHF;O/N;29/08/2020;;;;;;;CHF;22.40445800;;DeltaType;SPOT;FlowNF;0.00000000;IntCtpFlg;N;PosCfID;ALPHA_SHORT | DKSH N;InstrFthr;;CshFlwTp;FINANCING;Isin;CH0126673539;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;DKSH N;31b112a4-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;EUR/CHF;O/N;29/08/2020;;;;;;;CHF;254106.00000000;;DeltaType;SPOT;FlowNF;254106.00000000;IntCtpFlg;N;PosCfID;;InstrFthr;;CshFlwTp;;Isin;CH0126673539;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;DKSH N;31b114d4-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;EUR/CHF;O/N;29/08/2020;;;;;;;CHF;-237911.60000000;;DeltaType;SPOT;FlowNF;-237911.60000000;IntCtpFlg;N;PosCfID;;InstrFthr;;CshFlwTp;;Isin;CH0126673539;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;DOMINOS PIZZA;;;;;;;;;EUR/USD;O/N;29/08/2020;;;;;;;USD;911.91573500;;DeltaType;SPOT;FlowNF;0.00000000;IntCtpFlg;N;PosCfID;ALPHA_SHORT | DOMINOS PIZZA;InstrFthr;;CshFlwTp;FINANCING;Isin;US25754A2015;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;DOMINOS PIZZA;;;;;;;;;EUR/USD;O/N;29/08/2020;;;;;;;USD;-1392.00000000;;DeltaType;SPOT;FlowNF;-1392.00000000;IntCtpFlg;N;PosCfID;ALPHA_SHORT | DOMINOS PIZZA;InstrFthr;;CshFlwTp;DIVIDEND;Isin;US25754A2015;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;DOMINOS PIZZA;31b1512e-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;EUR/USD;O/N;29/08/2020;;;;;;;USD;1313890.53000000;;DeltaType;SPOT;FlowNF;1313890.53000000;IntCtpFlg;N;PosCfID;;InstrFthr;;CshFlwTp;;Isin;US25754A2015;;
2.0;28/08/2020;Ref;TBRX;SSL;Fx;FxSpot;Flow;1st;Delta;;BANCA IMI;ALPHA_SHORT;Equities-Equities-Common/Ordinary shares;LISTED;DOMINOS PIZZA;31b15584-e954-11ea-a590-49499a438f10;EQUITY;;;;;;;EUR/USD;O/N;29/08/2020;;;;;;;USD;-2152670.13000000;;DeltaType;SPOT;FlowNF;-2152670.13000000;IntCtpFlg;N;PosCfID;;InstrFthr;;CshFlwTp;;Isin;US25754A2015;;
