Bof_20200828
POSITIONID_FE	ANALYTICDATE	COMMENT0	CURRENCY	CURVE_DISCOUNTING	CURVE_ESTIMATION	EXCHANGE_RATE	INSERTIONDATE	INSTRUMENT_FE	MFAMILY	MGROUP	MTYPE	PL_BFEES	PL_CASH	PL_FINANCING	PL_FINANCING_CASH	PL_FINANCING_FEES	PL_FUTPROCEEDS	PL_KEY_FE	PL_MARKETVAL	PL_MARKETVAL_CL	PL_MARKETVAL_TH	PL_NPV	PL_OTHER_ADJUSTMENT	PL_POTENTIAL	PL_PVEFFECT	PL_REALIZED	PL_TOTAL	PL_TOTALNET	INVESTED	PORTFOLIOID_FE	REF_DATE	TYPOLOGY	ACCRINT	TBRICKS_INSTRUMENT_ID	DISCOUNT	MIC_JOIN_MKT_ATTR	PL_TOTAL_TH	PL_TOTALNET_TH	PL_BFEES_YTD	INVESTED_YTD	PL_TOTAL_YTD	PL_TOTALNET_YTD	PL_TOTAL_TH_YTD	PL_TOTALNET_TH_YTD	PL_PRICE_YTD
EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | AIR LIQUIDE | XPAR | Euronext Optiq	2020-08-28		EUR			1	2020-08-28	AIR LIQUIDE	Equities	Equities	Common/Ordinary shares	0		139.91974102622095	139.91974102622095			XPAR	-13942500	-14000000	-13942500	-13942500		-1350000.0000000019		0	-1350000	-1350000	-12592500	EQSSVOLOTC	2020-08-28			efa434b2-1f2a-11e9-a2d0-b3645e528b7a		XPAR	-1350000	-1350000	0	-12592500	-1350000	-1350000	-1350000	-1350000	125.925
EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | HEIDELBERGCEMENT | XETR | Xetra T7	2020-08-28		EUR			1	2020-08-28	HEIDELBERGCEMENT	Equities	Equities	Common/Ordinary shares	0		-144.35872744988384	-144.35872744988384			XETR	10538000	10608000	10538000	10538000		-2453999.999999998		0	-2453999.999999998	-2453999.999999998	12991999.999999998	EQSSVOLOTC	2020-08-28			ef9fb842-1f2a-11e9-a2d0-b3645e528b7a		XETR	-2453999.999999998	-2453999.999999998	0	12991999.999999998	-2453999.999999998	-2453999.999999998	-2453999.999999998	-2453999.999999998	64.96
EQ-INDEXVOL2 | EUR | Equities | Rights | Warrants Put | I06085 | SEDX | BIT SEDEX	2020-08-28		EUR			1	2020-08-28	I06085	Equities	Rights	Warrants Put	0		-0.007354050474346169	-0.007354050474346169			SEDX	0	0	0	0		0		-661.8499999999985	-661.8499999999985	-661.8499999999985	661.8499999999985	EQ-INDEXVOL2	2020-08-28			d3c90568-5211-11ea-8640-38c7f938b954	-0.39729382762634163	SEDX	-661.8499999999985	-661.8499999999985	0	661.8499999999985	-661.8499999999985	-661.8499999999985	-661.8499999999985	-661.8499999999985	
EQ-INDEXVOL2 | EUR | Equities | Options | Call | MIBO0L20500 | 18 DEC 20 | C | E | 20500.0000000000 | XDMI | Borsa Italiana IDEM	2020-08-28		EUR			1	2020-08-28	MIBO0L20500	Equities	Options	Call	0		0.6426530094583327	0.6426530094583327			XDMI	-44000	-42900	-42134.30983909868	-42134.30983909868		12590.690160901322		3112.5	13837.5	13837.5	-57837.5	EQ-INDEXVOL2	2020-08-28			011f1f92-2554-11ea-af50-2dba816f6810	-0.38055412903375024	XDMI	15703.19016090132	15703.19016090132	0	-57837.5	13837.5	13837.5	15703.19016090132	15703.19016090132	1051.590909090909
EQ-INDEXVOL2 | EUR | Equities | Options | Put | OPT_STXE OCT21 PATM - 3587 | 26 OCT 21 | P | E | 3418.2300000000 | XXXX | Internal	2020-08-28		EUR			1	2020-08-28	OPT_STXE OCT21 PATM - 3587	Equities	Options	Put	0		-61.096622448565334	-61.096622448565334			XXXX			3868437.614667943	3868437.614667943		-1549057.8841935028		-81079.70247044507	-5498575.201331891	-5498575.201331891	5498575.201331891	EQ-INDEXVOL2	2020-08-28			bb497bde-9e9d-11ea-a0a0-6b77645bee53	-0.4257475422713197	XXXX	-1630137.5866639481	-1630137.5866639481	0	5498575.201331891	-5498575.201331891	-5498575.201331891	-1630137.5866639481	-1630137.5866639481	539.2763626059891
VOL_STCK_AA_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SD3E JUN24 BDT | ETLX | EuroTLX Equities	2020-08-28		EUR			1	2020-08-28	EP3 SD3E JUN24 BDT	Equities	Miscellaneous	Combined Instruments	0		1392.703691043861	1392.703691043861			ETLX	-128380160.63	-128376866.28	-128855821.07534365	-128855821.07534365		-3493822.8205721676		-21420.143043354154	-3039582.51827186	-3039582.51827186	-125340578.11172815	VOL_STCK_AA_PR	2020-08-28			3427b34a-1f2e-11e9-a2d0-b3645e528b7a	-0.38824420020372047	ETLX	-3515242.9636155157	-3515242.9636155157	0	-125340578.11172815	-3039582.51827186	-3039582.51827186	-3515242.9636155157	-3515242.9636155157	951.178366838133
VOL_STCK_AA_PR | EUR | Equities | Miscellaneous | Combined Instruments | CERT SD3E APR26 BDT | SEDX | BIT SEDEX	2020-08-28		EUR			1	2020-08-28	CERT SD3E APR26 BDT	Equities	Miscellaneous	Combined Instruments	0		2420.532083076134	2420.532083076134			SEDX	-226108402.2	-225008630.4	-225543703.3255327	-225543703.3255327		-7682010.69673112		-18591.772688895464	-8265301.343887324	-8265301.343887324	-217843100.8561127	VOL_STCK_AA_PR	2020-08-28			196a3d22-6fc2-11e9-a250-f628c381b22f	-0.37591703558305906	SEDX	-7700602.46942003	-7700602.46942003	0	-217843100.8561127	-8265301.343887324	-8265301.343887324	-7700602.46942003	-7700602.46942003	930.9772936746783
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | BAY | MTAH | BIT MTA	2020-08-28		EUR			1	2020-01-31	BAY	Equities	Equities	Common/Ordinary shares	0		-0.9651629290787372	-0.9651629290787372			MTAH	42251.52	43422.72	42251.52	42251.52		-3152.976618280394		-41458.25838171958	-44611.2349999995	-44611.2349999995	86862.7549999995	MTAINT	2020-08-28			efa18f50-1f2a-11e9-a2d0-b3645e528b7a		MTAH	-44611.2349999995	-44611.2349999995	0	86862.75499999998	-44611.23499999998	-44611.23499999998	-44611.23499999998	-44611.23499999998	113.10254557291664
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | NVIDIA  EUR | XETR | Xetra T7	2020-08-28		EUR			1	2020-01-31	NVIDIA  EUR	Equities	Equities	Common/Ordinary shares	0		1.2930807453009034	1.2930807453009034			XETR	-217806.49999999997	-219826.5	-217866.30361500004	-217866.30361500004		-27231.19464299365		-74260.39897200637	-101431.78999999954	-101431.78999999954	-116374.71000000043	MTAINT	2020-08-28			efa41658-1f2a-11e9-a2d0-b3645e528b7a		XETR	-101491.59361499963	-101491.59361499963	0	-116374.71000000002	-101431.78999999995	-101431.78999999995	-101491.59361500003	-101491.59361500003	230.44497029702976
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | ING GROEP | XAMS | Euronext Optiq	2020-08-28		EUR			1	2020-01-31	ING GROEP	Equities	Equities	Common/Ordinary shares	0		-13.061538081018124	-13.061538081018124			XAMS	1582156.692	1553975.784	1582156.692	1582156.692		292131.87184442906		114512.22215557401	406644.0939999961	406644.0939999961	1175512.598000004	MTAINT	2020-08-28			ef9d401c-1f2a-11e9-a2d0-b3645e528b7a		XAMS	406644.0939999961	406644.0939999961	0	1175512.5979999972	406644.0940000029	406644.0940000029	406644.0940000029	406644.0940000029	5.255848652853898
