Bof_20200828
CURRENCY	CURVE_PILLAR	CURVE_PILLAR_MAT	CURVE_PILLAR_SPLIT	CURVE_PILLAR_START	CURVE_PILLAR_START_LABEL	CURVE_PILLAR_STRIKE	MARKET_RATE	OPTION_STRIKE	POSITIONID	REF_DATE	REFMARKET	RISK_NATURE	SENSITIVITYDATE	UNDERLYING	UNDERLYING_MKT	VEGA	VOLATILITY_CATEGORY	VOLATILITY_GROUP	VOLATILITY_TYPE	VOLATILITY_GROUP_TYPE	VOLATILITY_GROUP_ID	TBRICKS_INSTRUMENT_ID	MIC_JOIN_MKT_ATTR
EUR								12	EQSSVOLOTC | EUR | Equities | Options | Put | ENI X12 Dec23 - OTC - STRUTT | 15 DEC 23 | P | E | 12.0000000000 | XXXX | OTC Derivatives	2020-08-28	XXXX	Total	2020-08-28			2958.8735524446984		ENI_ENI risk fixed expiry			e6a3c842-39d7-11e9-a900-eb52c95dd479	ead41e46-da9d-11e9-8910-ac2964590592	XXXX
EUR									EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | BGN | MTAA | BIT MTA	2020-08-28	MTAA	GrandTotal	2020-08-28			0						efa24a08-1f2a-11e9-a2d0-b3645e528b7a	MTAA
EUR								19000	EQ-INDEXVOL2 | EUR | Equities | Options | Put | MIBO0X19000 | 18 DEC 20 | P | E | 19000.0000000000 | XDMI | Borsa Italiana IDEM	2020-08-28	XDMI	Total	2020-08-28			-47068.102893587224		FTMIB_FTMIB risk fixed expiry			d9df2e30-39d7-11e9-a900-eb52c95dd479	4d76404e-1f30-11e9-a2d0-b3645e528b7a	XDMI
EUR								419.295	EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX6E NOV25 CCAP - 4773 | 26 NOV 25 | C | E | 419.2950000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			40244.88381636189		0_EUR_UTIL_0_EUR_UTIL risk fixed expiry			ebe3f4b0-3b41-11e9-93b0-dcd608f6e958	bc26a7e8-9e9d-11ea-a0a0-6b77645bee53	XXXX
EUR								307.13	EQ-INDEXVOL2 | EUR | Equities | Options | Put | OPT_SX6E JUL26 P95 - 5112 | 29 JUL 26 | P | E | 307.1300000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			-1058732.6027157032		0_EUR_UTIL_0_EUR_UTIL risk fixed expiry			ebe3f4b0-3b41-11e9-93b0-dcd608f6e958	a7bf39f4-aef7-11ea-8700-3d076c78611f	XXXX
EUR								4692.394	EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX5E MAR22 C140 - 4894 | 23 MAR 22 | C | E | 4692.3940000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			2420.790312965821		DJES50_DJES50 risk fixed expiry			cf4df320-39d7-11e9-a900-eb52c95dd479	bc5509ee-9e9d-11ea-a0a0-6b77645bee53	XXXX
EUR								127	EQ-INDEXVOL2 | EUR | Equities | Options | Call | OEXD 202012 C 127 | 18 DEC 20 | C | E | 127.0000000000 | XEUR | Eurex NTA	2020-08-28	XEUR	Total	2020-08-28			15200.792059203797		FEXD_FEXD risk fixed expiry			eb132e4a-39d7-11e9-a900-eb52c95dd479	fa81a0d0-1f30-11e9-a2d0-b3645e528b7a	XEUR
EUR								3962.3038	VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_SD3E OCT24 CCAP - 4294 | 29 OCT 24 | C | E | 3962.3038000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			-1281.3545428052819		0_EUR_SELDIV_0_EUR_SELDIV risk fixed expiry			eb0581d0-3b41-11e9-93b0-dcd608f6e958	bbd30bce-9e9d-11ea-a0a0-6b77645bee53	XXXX
EUR								952.75	VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_CERT SD3E NOV25 BDT CALL50 2Y - 4791 | 24 NOV 20 | C | E | 952.7500000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			779.585714173556		0_EUR_SELDIV_0_EUR_SELDIV risk fixed expiry			eb0581d0-3b41-11e9-93b0-dcd608f6e958	bc119092-9e9d-11ea-a0a0-6b77645bee53	XXXX
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | NVIDIA  EUR | XETR | Xetra T7	2020-08-28	XETR	GrandTotal	2020-08-28			0						efa41658-1f2a-11e9-a2d0-b3645e528b7a	XETR
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | ING GROEP | XAMS | Euronext Optiq	2020-08-28	XAMS	GrandTotal	2020-08-28			0						ef9d401c-1f2a-11e9-a2d0-b3645e528b7a	XAMS
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | ING GROEP | MTAH | BIT MTA	2020-08-28	MTAH	GrandTotal	2020-08-28			0						ef9d401c-1f2a-11e9-a2d0-b3645e528b7a	MTAH
EUR									EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | RWE | XETR | Xetra T7	2020-08-28	XETR	GrandTotal	2020-08-28			0						efa3419c-1f2a-11e9-a2d0-b3645e528b7a	XETR
EUR								13	EQSSVOLOTC | EUR | Equities | Options | Put | ENI X13 Dec23 - OTC - STRUTT | 15 DEC 23 | P | A | 13.0000000000 | XXXX | OTC Derivatives	2020-08-28	XXXX	Total	2020-08-28			10241.488743112837		ENI_ENI risk fixed expiry			e6a3c842-39d7-11e9-a900-eb52c95dd479	2e7b3950-3920-11ea-81d0-5a5f2664c4d9	XXXX
EUR								224.316	EQ-INDEXVOL2 | EUR | Equities | Options | Put | OPT_SX6E SEP22 P90 PROT - 3870 | 12 SEP 22 | P | E | 224.3160000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			-6257.831765278625		0_EUR_UTIL_0_EUR_UTIL risk fixed expiry			ebe3f4b0-3b41-11e9-93b0-dcd608f6e958	bb99b5d6-9e9d-11ea-a0a0-6b77645bee53	XXXX
EUR								20000	EQ-INDEXVOL2 | EUR | Equities | Options | Put | MIBO1R20000 | 18 JUN 21 | P | E | 20000.0000000000 | XDMI | Borsa Italiana IDEM	2020-08-28	XDMI	Total	2020-08-28			0		FTMIB_FTMIB risk fixed expiry			d9df2e30-39d7-11e9-a900-eb52c95dd479	4d7630a4-1f30-11e9-a2d0-b3645e528b7a	XDMI
