Bof_20200828
ACCOUNTING_CURR	ENTITY	PORTFOLIOID_FE	PORTFOLIOREF	REF_DATE
EUR	CIB	EQUITY_CM	0b3b4f02-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	EQ_SSVOL	0b3b5704-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	ETF_DIR	0b3b5204-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	GMT_LONDON	991c7086-7ffb-11ea-a910-a87b7f94427f	2020-08-28
EUR	CIB	LONG_TERM	0b3b4b06-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	EPSILON	c471310a-1137-11ea-95c0-9c8971a2b88b	2020-08-28
EUR	CIB	FONDI_SPAC	0b3b5d8a-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	DISPERSION	f3970c8e-97bb-11e9-ba00-f1ab0a5274b5	2020-08-28
EUR	CIB	SPAC SPONSOR	0b3b5510-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	VOL_STOCK_IDX_SEC	c3c54690-a4e6-11ea-94c0-cc561d703150	2020-08-28
EUR	CIB	DM2	1711c292-9ba1-11e9-a1d0-0f84e4b46cc7	2020-08-28
EUR	CIB	EQ-TLX	0b3b4e12-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	EQ-INDEXVOL2	0b3b5394-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	G WEST	0b3b4f16-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	BT	0b3b4f98-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	VOL_FVO_PRIMARIO	73cdf71a-437d-11ea-9b50-413bf4a3795f	2020-08-28
EUR	CIB	AA	0b3b5d1c-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	EQ-D1-OTC	9e10d69e-b6c5-11ea-aa70-e4629b3e2a3f	2020-08-28
EUR	CIB	SPAC_SPONSOR_TRADING	0b3b561e-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	MTAINT	0b3b5ba0-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	VOL_STOCK_IDX_PR	b87c969e-a4e6-11ea-94c0-cc561d703150	2020-08-28
EUR	CIB	TECNICO	0b3b4e26-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	EQ-IMMOBILIA	0b3b4caa-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	SYST_VOL	f3970eaa-97bb-11e9-ba00-f1ab0a5274b5	2020-08-28
EUR	CIB	LIFFE	0b3b4d2c-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	RELATIVE09	0b3b5c2c-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
EUR	CIB	VOL_STOCK_SS_PR	b1d8932e-a4e6-11ea-94c0-cc561d703150	2020-08-28
EUR	CIB	VOL_STCK_AA_SEC	7cdde7b0-ab2f-11ea-a500-77fb3d9e4468	2020-08-28
EUR	CIB	STAT_ARB	0b3b4836-3aac-11e9-9f10-b6b6d2b2fac8	2020-08-28
