Bof_20200828
ASK	BID	CURRENCY	CURVE_REF_DATE	CURVE_TYPE	CURVE_TYPE_DETAIL	CURVEID	FREFERENCE_CURVE	MATURITY	MATURITY_LABEL	MID	PILLAR	REF_DATE	REPO_GROUP	REQUEST_TYPE	CURVE_NAME
0	0		2020-08-28	Credit	Equity Repo Margins	ef9e4912-1f2a-11e9-a2d0-b3645e528b7a		2021-06-18	2021-06-18	0	2021-06-18	2020-08-28		Standard	VIVENDI
0	0		2020-08-28	Credit	Equity Repo Margins	ef9e4912-1f2a-11e9-a2d0-b3645e528b7a		2020-06-19	2020-06-19	0	2020-06-19	2020-08-28		Standard	VIVENDI
0	0		2020-08-28	Credit	Equity Repo Margins	ef9e60a0-1f2a-11e9-a2d0-b3645e528b7a		2020-05-15	2020-05-15	0	2020-05-15	2020-08-28		Standard	CREDIT AGRICOLE
0.0025	0.0025		2020-08-28	Credit	Equity Repo Margins	efa14748-1f2a-11e9-a2d0-b3645e528b7a		2019-03-15	2019-03-15	0.0025	2019-03-15	2020-08-28		Standard	DAIMLER
0	0		2020-08-28	Credit	Equity Repo Margins	efa29a76-1f2a-11e9-a2d0-b3645e528b7a		2020-05-15	2020-05-15	0	2020-05-15	2020-08-28		Standard	SOC.GENERAL
0	0		2020-08-28	Credit	Equity Repo Margins	ef9e7360-1f2a-11e9-a2d0-b3645e528b7a		2019-09-20	2019-09-20	0	2019-09-20	2020-08-28		Standard	AZM
0	0		2020-08-28	Credit	Equity Repo Margins	250141f6-514c-11e9-b8d0-ec23cf8de3db		2020-06-19	2020-06-19	0	2020-06-19	2020-08-28		Standard	BANK OF AMERICA USD
0	0		2020-08-28	Credit	Equity Repo Margins	ef9e9912-1f2a-11e9-a2d0-b3645e528b7a		2020-12-17	2020-12-17	0	2020-12-17	2020-08-28		Standard	UNI
0.03140975462893271	0.03140975462893271		2020-08-28	Credit	Equity Repo Margins	d03e0016-ad5b-11e9-a010-dbedd71ff5a9		2020-06-21	2020-06-21	0.03140975462893271	2020-06-21	2020-08-28		Standard	3150EUE ITA
0.035	0.035		2020-08-28	Credit	Equity Repo Margins	d03e0016-ad5b-11e9-a010-dbedd71ff5a9		2021-06-20	2021-06-20	0.035	2021-06-20	2020-08-28		Standard	3150EUE ITA
0	0		2020-08-28	Credit	Equity Repo Margins	ef9d401c-1f2a-11e9-a2d0-b3645e528b7a		2019-06-21	2019-06-21	0	2019-06-21	2020-08-28		Standard	ING GROEP
0	0		2020-08-28	Credit	Equity Repo Margins	efa3e2d2-1f2a-11e9-a2d0-b3645e528b7a		2019-09-20	2019-09-20	0	2019-09-20	2020-08-28		Standard	SANOFI
0	0		2020-08-28	Credit	Equity Repo Margins	efa3354e-1f2a-11e9-a2d0-b3645e528b7a		2019-12-20	2019-12-20	0	2019-12-20	2020-08-28		Standard	BASF
0	0		2020-08-28	Credit	Equity Repo Margins	efa37c20-1f2a-11e9-a2d0-b3645e528b7a		2020-06-19	2020-06-19	0	2020-06-19	2020-08-28		Standard	ASML
0	0		2020-08-28	Credit	Equity Repo Margins	efa1970c-1f2a-11e9-a2d0-b3645e528b7a		2021-03-19	2021-03-19	0	2021-03-19	2020-08-28		Standard	US
0	0		2020-08-28	Credit	Equity Repo Margins	efa08740-1f2a-11e9-a2d0-b3645e528b7a		2021-06-18	2021-06-18	0	2021-06-18	2020-08-28		Standard	BNP
0	0		2020-08-28	Credit	Equity Repo Margins	efa08740-1f2a-11e9-a2d0-b3645e528b7a		2020-06-19	2020-06-19	0	2020-06-19	2020-08-28		Standard	BNP
0	0		2020-08-28	Credit	Equity Repo Margins	ef9c592c-1f2a-11e9-a2d0-b3645e528b7a		2024-12-20	2024-12-20	0	2024-12-20	2020-08-28		Standard	TOD
0	0		2020-08-28	Credit	Equity Repo Margins	ef9f9150-1f2a-11e9-a2d0-b3645e528b7a		2020-09-18	2020-09-18	0	2020-09-18	2020-08-28		Standard	SIEMENS
0	0		2020-08-28	Credit	Equity Repo Margins	ef9c592c-1f2a-11e9-a2d0-b3645e528b7a		2023-12-15	2023-12-15	0	2023-12-15	2020-08-28		Standard	TOD
0	0		2020-08-28	Credit	Equity Repo Margins	ef9c592c-1f2a-11e9-a2d0-b3645e528b7a		2022-12-16	2022-12-16	0	2022-12-16	2020-08-28		Standard	TOD
0.0075	0.0075		2020-08-28	Credit	Equity Repo Margins	efa1b1c4-1f2a-11e9-a2d0-b3645e528b7a		2020-06-19	2020-06-19	0.0075	2020-06-19	2020-08-28		Standard	SPM
0	0		2020-08-28	Credit	Equity Repo Margins	efa1b1c4-1f2a-11e9-a2d0-b3645e528b7a		2021-06-18	2021-06-18	0	2021-06-18	2020-08-28		Standard	SPM
0.0004	0.0004		2020-08-28	Credit	Equity Repo Margins	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a		2019-06-21	2019-06-21	0.0004	2019-06-21	2020-08-28		Standard	ENI
