Bof_20200828
ANALYTICDATE	CURRENCY	CURVE_PILLAR	CURVE_PILLAR_MAT	POSITIONID_FE	DELTA	GAMMA	INSTRUMENT_FE	PORTFOLIOID_FE	REF_DATE	RISK_NATURE	UND_CCY	UNDERLYINGID_FE	UND_MARKET	TBRICKS_INSTRUMENT_ID	DIVIDEND_SENS
2020-08-28	EUR			EQ-INDEXVOL2 | EUR | Equities | Options | Call | OESX 202012 C 3000 | 18 DEC 20 | C | E | 3000.0000000000 | XEUR | Eurex NTA	-381.9047927956956	-0.3099002870907864	OESX 202012 C 3000	EQ-INDEXVOL2	2020-08-28	GrandTotal				f380b4ba-1f30-11e9-a2d0-b3645e528b7a	366.45411470774434
2020-08-28	EUR			EQ-INDEXVOL2 | EUR | Equities | Options | Call | OEXD 202312 C 100 | 15 DEC 23 | C | E | 100.0000000000 | XEUR | Eurex NTA	0	0	OEXD 202312 C 100	EQ-INDEXVOL2	2020-08-28	GrandTotal				f44998d0-1f30-11e9-a2d0-b3645e528b7a	
2020-08-28	EUR			VOL_STCK_AA_PR | EUR | Equities | Miscellaneous | Combined Instruments | CERT SD3E APR26 BDT | SEDX | BIT SEDEX	-1710.5732928637349	-3.588788707493118	CERT SD3E APR26 BDT	VOL_STCK_AA_PR	2020-08-28	GrandTotal				196a3d22-6fc2-11e9-a250-f628c381b22f	25965.447647930065
2020-08-28	EUR			MTAINT | EUR | Equities | Equities | Common/Ordinary shares | FACEBOOK EUR | MTAH | BIT MTA	1786	0	FACEBOOK EUR	MTAINT	2020-08-28	GrandTotal				efa2ebd4-1f2a-11e9-a2d0-b3645e528b7a	
2020-08-28	EUR			EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | US | MTAA | BIT MTA	-251000	0	US	EQSSVOLOTC	2020-08-28	GrandTotal				efa1970c-1f2a-11e9-a2d0-b3645e528b7a	0
2020-08-28	EUR			EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | NOKIA | XETR | Xetra T7	-40000	0	NOKIA	EQSSVOLOTC	2020-08-28	GrandTotal				ef9f98c6-1f2a-11e9-a2d0-b3645e528b7a	0
2020-08-28	EUR			EQSSVOLOTC | EUR | Equities | Options | Call | 20508939 | 17 DEC 21 | C | A | 4.6000000000 | XXXX | OTC Derivatives	0	0	20508939	EQSSVOLOTC	2020-08-28	GrandTotal				c4de440a-7710-11e9-9400-98972329be46	0
2020-08-28	EUR			EQSSVOLOTC | EUR | Equities | Options | Put | VO3 X120 Dec22 - OTC - STRUTT | 15 DEC 23 | P | A | 120.0000000000 | None | OTC Derivatives	-17648.72542898306	261.17100953617756	VO3 X120 Dec22 - OTC - STRUTT	EQSSVOLOTC	2020-08-28	GrandTotal				afb434b2-4d99-11ea-8480-8ec09ba89a42	1902.348237682361
2020-08-28	EUR			EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | MS | MTAA | BIT MTA	-120000	0	MS	EQSSVOLOTC	2020-08-28	GrandTotal				ef9e6f96-1f2a-11e9-a2d0-b3645e528b7a	0
2020-08-28	EUR			EQSSVOLOTC | EUR | Equities | Options | Call | 25643982 | 17 DEC 21 | C | E | 4.6000000000 | XXXX | OTC Derivatives	0	0	25643982	EQSSVOLOTC	2020-08-28	GrandTotal				b941c7e8-7710-11e9-9400-98972329be46	0
2020-08-28	EUR			EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_EPC SX5E MAR24 CCAP - 4896 | 25 MAR 24 | C | E | 5016.7296000000 | XXXX | Internal	54.412472908336845	0.119543345660362	OPT_EPC SX5E MAR24 CCAP - 4896	EQ-INDEXVOL2	2020-08-28	GrandTotal				bc50def0-9e9d-11ea-a0a0-6b77645bee53	-1221.8313266664152
2020-08-28	EUR			VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_SD3E JUN19 BDT C66.66 2Y - 5060 | 22 JUN 21 | C | E | 1277.9600000000 | XXXX | Internal	390.3133358363127	0.6497296332493494	OPT_SD3E JUN19 BDT C66.66 2Y - 5060	VOL_STCK_AA_PR	2020-08-28	GrandTotal				bc748184-9e9d-11ea-a0a0-6b77645bee53	-2084.370600174947
2020-08-28	EUR			MTAINT | EUR | Equities | Equities | Common/Ordinary shares | INTEL EUR | MTAH | BIT MTA	1393	0	INTEL EUR	MTAINT	2020-08-28	GrandTotal				efa022c8-1f2a-11e9-a2d0-b3645e528b7a	0
2020-08-28	EUR			MTAINT | EUR | Equities | Equities | Common/Ordinary shares | ENGIE | XPAR | Euronext Optiq	-7569	0	ENGIE	MTAINT	2020-08-28	GrandTotal				efa315d2-1f2a-11e9-a2d0-b3645e528b7a	0
2020-08-28	EUR			EQSSVOLOTC | EUR | Equities | Options | Call | FRE G47.91 21 - OTC EPSILON | 02 JUL 21 | C | E | 47.9100000000 | None | OTC Derivatives	-16304.237207976152	-1936.1144835823875	FRE G47.91 21 - OTC EPSILON	EQSSVOLOTC	2020-08-28	GrandTotal				3a710bb2-bd24-11ea-b0d0-9b6fd5f0ec96	199.6494752674901
