Bof_20200828
CLEARING_CENTER_NAME	CURRENCY	DESCRIPTION	F_QDIRTY	INSTRUMENTID_FE	ISIN	ISS_DATE	ISS_NUM	ISSUERID	LOTSIZE	MKT_SETTL_TYPE	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	UNDERLYINGID_FE	DIVIDENDID_FE	TBRICKS_INSTRUMENT_ID	TBRICKS_UNDERLYING_ID	TBRICKS_DIVIDEND_ID	F_IS_ETF
	EUR	NortonLifeLock Inc	0	NortonLifeLock Inc EUR	US6687711084	2005-12-15	0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	NortonLifeLock Inc USD	NortonLifeLock Inc USD	341a6a1e-1f2e-11e9-a2d0-b3645e528b7a	5a69520c-1f2e-11e9-a2d0-b3645e528b7a	5a69520c-1f2e-11e9-a2d0-b3645e528b7a	N
	EUR	DT.CANNABIS AG   O.N.	0	FAM1	DE000A0BVVK7	2007-10-27	0	Deutsche Cannabis AG	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	FAM1	FAM1	e331be10-1f2b-11e9-a2d0-b3645e528b7a	e331be10-1f2b-11e9-a2d0-b3645e528b7a	e331be10-1f2b-11e9-a2d0-b3645e528b7a	N
	USD		0	YRD	US98585L1008		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	YRD	YRD	3752e778-d0a2-11e9-36e9-5b62a4e74692	3752e778-d0a2-11e9-36e9-5b62a4e74692	3752e778-d0a2-11e9-36e9-5b62a4e74692	N
	USD		0	Deckers Outdoor Corp	US2435371073		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Deckers Outdoor Corp	Deckers Outdoor Corp	ffd71e9e-7c86-11e9-a8f0-6ef443dc97a1	ffd71e9e-7c86-11e9-a8f0-6ef443dc97a1	ffd71e9e-7c86-11e9-a8f0-6ef443dc97a1	N
	USD	CHIPOTLE MEXICA	0	CHIPOTLE MX GRL	US1696561059	2018-01-18	0	0B9028	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	CHIPOTLE MX GRL	CHIPOTLE MX GRL	5abc3198-1f2e-11e9-a2d0-b3645e528b7a	5abc3198-1f2e-11e9-a2d0-b3645e528b7a	5abc3198-1f2e-11e9-a2d0-b3645e528b7a	N
	EUR	BNP PARIBAS	0	BNP	FR0000131104	2010-01-04	0	BNP PARIBAS	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	BNP	BNP	efa08740-1f2a-11e9-a2d0-b3645e528b7a	efa08740-1f2a-11e9-a2d0-b3645e528b7a	efa08740-1f2a-11e9-a2d0-b3645e528b7a	N
	USD	MSCI	0	MSCI	US55354G1004		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	MSCI	MSCI	250bbe74-514c-11e9-b8d0-ec23cf8de3db	250bbe74-514c-11e9-b8d0-ec23cf8de3db	250bbe74-514c-11e9-b8d0-ec23cf8de3db	N
	EUR	CONAFI	0	CNF	IT0004105653	2008-11-10	0	CONAFI	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	CNF	CNF	ef9c803c-1f2a-11e9-a2d0-b3645e528b7a	ef9c803c-1f2a-11e9-a2d0-b3645e528b7a	ef9c803c-1f2a-11e9-a2d0-b3645e528b7a	N
	USD		0	Berry Petroleum	US08579X1019		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Berry Petroleum	Berry Petroleum	3569616d-49b8-11ea-15db-13f2ca8772a7	3569616d-49b8-11ea-15db-13f2ca8772a7	3569616d-49b8-11ea-15db-13f2ca8772a7	N
	USD		0	Beacon Roofing Supply	US0736851090		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Beacon Roofing Supply	Beacon Roofing Supply	952b1eee-e074-11e9-1e94-e93668135196	952b1eee-e074-11e9-1e94-e93668135196	952b1eee-e074-11e9-1e94-e93668135196	N
	EUR	TELECOM ITALIA R	0	TITR	IT0003497176	2008-11-10	0	TELECOM ITALIA	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	TITR	TITR	ef9e90de-1f2a-11e9-a2d0-b3645e528b7a	ef9e90de-1f2a-11e9-a2d0-b3645e528b7a	ef9e90de-1f2a-11e9-a2d0-b3645e528b7a	N
	USD	RITE AID ORD	0	RITE AID CORP	US7677548726	2018-01-24	0	0D0093	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	RITE AID CORP	RITE AID CORP	5abc28d8-1f2e-11e9-a2d0-b3645e528b7a	5abc28d8-1f2e-11e9-a2d0-b3645e528b7a	5abc28d8-1f2e-11e9-a2d0-b3645e528b7a	N
	USD		0	Inspire Medical Systems	US4577301090		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Inspire Medical Systems	Inspire Medical Systems	f49d2cd1-00a0-11ea-df70-ef7e106750b0	f49d2cd1-00a0-11ea-df70-ef7e106750b0	f49d2cd1-00a0-11ea-df70-ef7e106750b0	N
	USD		0	Cloudflare	US18915M1071		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Cloudflare	Cloudflare	746e1eb6-a990-11ea-252a-4520942be29c	746e1eb6-a990-11ea-252a-4520942be29c	746e1eb6-a990-11ea-252a-4520942be29c	N
	USD	FORTIVE ORD	0	Fortive	US34959J1088	2018-01-18	0	0C2155	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Fortive	Fortive	5a465842-1f2e-11e9-a2d0-b3645e528b7a	5a465842-1f2e-11e9-a2d0-b3645e528b7a	5a465842-1f2e-11e9-a2d0-b3645e528b7a	N
	USD	SCIENCE APPLICA	0	Science Applications International Corp	US8086251076	2018-07-25	0	0C3485	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Science Applications International Corp	Science Applications International Corp	5a6a590e-1f2e-11e9-a2d0-b3645e528b7a	5a6a590e-1f2e-11e9-a2d0-b3645e528b7a	5a6a590e-1f2e-11e9-a2d0-b3645e528b7a	N
	USD	TANDEM DIABETES	0	TANDEM DIABETES	US8753722037	2018-10-04	0	0D2080	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	TANDEM DIABETES	TANDEM DIABETES	5b0a4b4e-1f2e-11e9-a2d0-b3645e528b7a	5b0a4b4e-1f2e-11e9-a2d0-b3645e528b7a	5b0a4b4e-1f2e-11e9-a2d0-b3645e528b7a	N
	USD	ETSY ORD	0	ETSY INC	US29786A1060	2018-01-24	0	0C3221	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	ETSY INC	ETSY INC	5aa674a2-1f2e-11e9-a2d0-b3645e528b7a	5aa674a2-1f2e-11e9-a2d0-b3645e528b7a	5aa674a2-1f2e-11e9-a2d0-b3645e528b7a	N
	USD	UNITEDHEALTH GR	0	UNITEDHEALTH GP	US91324P1021	2018-01-15	0	0A8024	1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	UNITEDHEALTH GP	UNITEDHEALTH GP	5a6c7568-1f2e-11e9-a2d0-b3645e528b7a	5a6c7568-1f2e-11e9-a2d0-b3645e528b7a	5a6c7568-1f2e-11e9-a2d0-b3645e528b7a	N
	USD		0	Armstrong World Industries Inc	US04247X1028		0		1	Cash	2020-08-28	Common/Ordinary shares	Equities	Equities	Armstrong World Industries Inc	Armstrong World Industries Inc	12016e43-3097-11ea-01da-4705d5f13dae	12016e43-3097-11ea-01da-4705d5f13dae	12016e43-3097-11ea-01da-4705d5f13dae	N
