Bof_20200828
ANALYTICDATE	CURRENCY	POSITIONID_FE	MTM_MARKET	MTM_PRICE	MTM_PRICE_FWD	MTM_RATE	PORTFOLIOID_FE	REF_DATE	REGULAR_SETTL	SPOT_PRICE	VOLATILITY	EVAL_MODE	SETTLEMENT	INTERNAL_MODEL	CREDIT_CURVEID	VOLATILITY_DAY_COUNT	VOLATILITY_GROUP	UNDERLYING_RATE	UNDERLYING_RATE_MODE	YIELD_OFFSET	CREDIT_CURVE_NAME	VOLATILITY_GROUP_ID	TBRICKS_INSTRUMENT_ID	FINANCING_RATE	REPO_MARGIN_RATE	MIC_JOIN_MKT_ATTR	F_IS_MANUAL_VOLA
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | 1_SASY H91.497 - OTC EPSILON | 05 AUG 21 | C | E | 91.4970000000 | None | OTC Derivatives	None				EQSSVOLOTC	2020-08-28			21.187926788700768	1	2	EUROPEAN_ESCROWED_DIVIDEND	efa3e2d2-1f2a-11e9-a2d0-b3645e528b7a	TRADING_DIV_256	1_SASY_1_SASY risk fixed expiry	0	Curve		SANOFI	dc7074ce-39d7-11e9-a900-eb52c95dd479	105273e4-d7c7-11ea-ad00-165624ea06d9	0	0	None	N
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | TIT X0.4 - OTC CARIMONTE | 18 DEC 20 | P | E | .4000000000 | None | OTC Derivatives	None				EQSSVOLOTC	2020-08-28			40.48022297511462	1	2	EUROPEAN_ESCROWED_DIVIDEND		TRADING_DIV_256	TIT_TIT risk fixed expiry	0	Curve			d4e2952a-39d7-11e9-a900-eb52c95dd479	1c2091fe-dc7e-11ea-a960-6e0f8172dac5	0	0	None	N
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | MB X10 20 - OTC VALBRUNA | 18 DEC 20 | P | E | 10.0000000000 | None | OTC Derivatives	None				EQSSVOLOTC	2020-08-28			30.479954481881737	1	2	EUROPEAN_ESCROWED_DIVIDEND	ef9cb372-1f2a-11e9-a2d0-b3645e528b7a	TRADING_DIV_256	MB_MB risk fixed expiry	0	Curve		MB	dd5b85c2-39d7-11e9-a900-eb52c95dd479	2dd46e08-9ba1-11e9-a1d0-0f84e4b46cc7	0	0	None	N
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | ENI X13 Dec23 - OTC - STRUTT | 15 DEC 23 | P | A | 13.0000000000 | XXXX | OTC Derivatives	XXXX				EQSSVOLOTC	2020-08-28			21.723166357759368	1	2	AMERICAN_ESCROWED_DIVIDEND	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	TRADING_DIV_256	ENI_ENI risk fixed expiry	0	Curve		ENI	e6a3c842-39d7-11e9-a900-eb52c95dd479	2e7b3950-3920-11ea-81d0-5a5f2664c4d9	0	0	XXXX	N
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | 3_SAPG G 132.44 21 - OTC EPSILON | 02 JUL 21 | C | E | 132.4400000000 | None | OTC Derivatives	None				EQSSVOLOTC	2020-08-28			30.642319574524063	1	2	EUROPEAN_ESCROWED_DIVIDEND	ef9db89e-1f2a-11e9-a2d0-b3645e528b7a	TRADING_DIV_256	3_SAPG_3_SAPG risk fixed expiry	0	Curve		SAP	dd242334-39d7-11e9-a900-eb52c95dd479	303fc76e-bc4d-11ea-8ab0-5ac0d4f352e5	0	0	None	N
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | TOT X40 Dec22 - OTC - EQ_STRUTT | 16 DEC 22 | P | A | 40.0000000000 | XOFF | OTC Derivatives	XOFF				EQSSVOLOTC	2020-08-28			21.872793937905012	1	2	AMERICAN_ESCROWED_DIVIDEND	ef9c7be6-1f2a-11e9-a2d0-b3645e528b7a	TRADING_DIV_256	1_TOTF_1_TOTF risk fixed expiry	0	Curve		TOTAL	cfa55980-39d7-11e9-a900-eb52c95dd479	34fe62b4-85a9-11e9-bc50-d8e42f759887	0	0	XOFF	N
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI L12 Dec23 - OTC - STRUTT | 15 DEC 23 | C | E | 12.0000000000 | XXXX | OTC Derivatives	XXXX				EQSSVOLOTC	2020-08-28			22.29053602131395	1	2	EUROPEAN_ESCROWED_DIVIDEND	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	TRADING_DIV_256	ENI_ENI risk fixed expiry	0	Curve		ENI	e6a3c842-39d7-11e9-a900-eb52c95dd479	3e2771f8-d966-11e9-b2f0-5dd386df89f3	0	0	XXXX	N
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | ENI X12 Dec23 - OTC - STRUTT | 15 DEC 23 | P | E | 12.0000000000 | XXXX | OTC Derivatives	XXXX				EQSSVOLOTC	2020-08-28			22.29053602131395	1	2	EUROPEAN_ESCROWED_DIVIDEND	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	TRADING_DIV_256	ENI_ENI risk fixed expiry	0	Curve		ENI	e6a3c842-39d7-11e9-a900-eb52c95dd479	3e279e26-d966-11e9-b2f0-5dd386df89f3	0	0	XXXX	N
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI 12.5L Dec22 - OTC - STRUTT | 16 DEC 22 | C | E | 12.5000000000 | XXXX | OTC Derivatives	XXXX				EQSSVOLOTC	2020-08-28			22.56422933263562	1	2	EUROPEAN_ESCROWED_DIVIDEND	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	TRADING_DIV_256	ENI_ENI risk fixed expiry	0	Curve		ENI	e6a3c842-39d7-11e9-a900-eb52c95dd479	4537faaa-e59e-11e9-8320-5149c5b639d8	0	0	XXXX	N
2020-08-28	CHF	EQSSVOLOTC | CHF | Equities | Equities | Common/Ordinary shares | NESTLE SA | XSWX | Reuters Elektron	XSWX	108.64			EQSSVOLOTC	2020-08-28		108.64		1	2	EQUITY		TRADING_DIV_256			Curve				5b1fceb0-1f2e-11e9-a2d0-b3645e528b7a	0	0	XSWX	N
