Bof_20200828
INSTRUMENTID_FE	TBRICKS_INSTRUMENT_ID	TBRICKS_INSTRUMENT_ID_COMPOSITE	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	QUANTITYFACTOR	INSTRUMENTID_FE_COMPOSITE	SEC_CATEGORY_COMPOSITE	SEC_GROUP_COMPOSITE	SEC_TYPE_COMPOSITE
EP3 SXDP SEPT20 BDT CALL 144 | 23 SEP 20 | C | E | 1066.7664000000	82307cce-62b4-11e9-b160-4ad6f9df0bf5	34124136-1f2e-11e9-a2d0-b3645e528b7a	2020-08-28	Call	Equities	Options	-1.3498740000000002	EP3 SXDP SEPT20 BDT	Combined Instruments	Equities	Miscellaneous
EP3 SXDP SEPT20 BDT CALL 100 BOND | 23 SEP 20 | C | E | 740.8100000000	822f9e1c-62b4-11e9-b160-4ad6f9df0bf5	34124136-1f2e-11e9-a2d0-b3645e528b7a	2020-08-28	Call	Equities	Options	-1.3498740000000002	EP3 SXDP SEPT20 BDT	Combined Instruments	Equities	Miscellaneous
EP3 SXDP SEPT20 BDT PUT ATM | 23 SEP 20 | P | E | 740.8100000000	82301b26-62b4-11e9-b160-4ad6f9df0bf5	34124136-1f2e-11e9-a2d0-b3645e528b7a	2020-08-28	Put	Equities	Options	-1.3498740000000002	EP3 SXDP SEPT20 BDT	Combined Instruments	Equities	Miscellaneous
EP3 SXDP SEPT20 BDT PUT 100 BOND | 23 SEP 20 | P | E | 740.8100000000	822fb29f-62b4-11e9-b160-4ad6f9df0bf5	34124136-1f2e-11e9-a2d0-b3645e528b7a	2020-08-28	Put	Equities	Options	1.3498740000000002	EP3 SXDP SEPT20 BDT	Combined Instruments	Equities	Miscellaneous
EP3 SXDP SEPT20 BDT CALL 0 BOND | 23 SEP 20 | C | E | .0000100000	822f61f4-62b4-11e9-b160-4ad6f9df0bf5	34124136-1f2e-11e9-a2d0-b3645e528b7a	2020-08-28	Call	Equities	Options	1.3498740000000002	EP3 SXDP SEPT20 BDT	Combined Instruments	Equities	Miscellaneous
EP3 SXDP SEPT20 BDT PUT 85 | 23 SEP 20 | P | E | 629.6885000000	82306356-62b4-11e9-b160-4ad6f9df0bf5	34124136-1f2e-11e9-a2d0-b3645e528b7a	2020-08-28	Put	Equities	Options	1.3498740000000002	EP3 SXDP SEPT20 BDT	Combined Instruments	Equities	Miscellaneous
EP3 SXDP SEPT20 BDT CALL ATM | 23 SEP 20 | C | E | 740.8100000000	82300172-62b4-11e9-b160-4ad6f9df0bf5	34124136-1f2e-11e9-a2d0-b3645e528b7a	2020-08-28	Call	Equities	Options	1.3498740000000002	EP3 SXDP SEPT20 BDT	Combined Instruments	Equities	Miscellaneous
SPX DEC21 P100 BOND | 23 DEC 21 | P | E | 2078.3600000000	7f447d8a-62b4-11e9-b160-4ad6f9df0bf5	342e056a-1f2e-11e9-a2d0-b3645e528b7a	2020-08-28	Put	Equities	Options	0.9622969999999998	EP3 SPX DEC21 BDT	Combined Instruments	Equities	Miscellaneous
SPX DEC21 C100 BOND | 23 DEC 21 | C | E | 2078.3600000000	7f445530-62b4-11e9-b160-4ad6f9df0bf5	342e056a-1f2e-11e9-a2d0-b3645e528b7a	2020-08-28	Call	Equities	Options	-0.9622969999999998	EP3 SPX DEC21 BDT	Combined Instruments	Equities	Miscellaneous
SPX DEC21 CATM | 23 DEC 21 | C | E | 2078.3600000000	7f44a210-62b4-11e9-b160-4ad6f9df0bf5	342e056a-1f2e-11e9-a2d0-b3645e528b7a	2020-08-28	Call	Equities	Options	0.9622969999999998	EP3 SPX DEC21 BDT	Combined Instruments	Equities	Miscellaneous
