Bof_20200828
DEALID_FE	DESCRIPTION	F_ISLISTED	INSTRUMENT_FE	INSTRUMENTID_FE	TBRICKS_INSTRUMENT_ID	ISIN	ISSUERID	MFAMILY	MGROUP	MTYPE	PHASE	PORTFOLIOID	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	TYPOLOGY	PRICE_MULTIPLIER	CFI_CODE	USE_VOLATILITY_SURFACE	CUSTOM_UNIQUE_ID	BASE_PRICE_MULTIPLIER	SUMMATION_GROUP	CFI_VARIANT_NAME	INSTRUMENTNUM_FE
-1		Y	SX7E MAR23 C100 BOND	SX7E MAR23 C100 BOND | 01 MAR 23 | C | E | 118.0100000000	754775f9-62b4-11e9-b160-4ad6f9df0bf5			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SX7E	Call	
-1		Y	Appfolio	Appfolio	924641a2-8ed4-11ea-d937-3d9ad2fb01b3	US03783C1009		Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	APPF	Equity share	
-1		Y	0_SDGP P 2279.03 25 - 5851	0_SDGP P 2279.03 25 - 5851 | 07 AUG 25 | P | E | 2279.0300000000	ab23868c-dc82-11ea-a960-6e0f8172dac5			Equities	Options	Put	0		2020-08-28	Put	Equities	Options		1	OPEXCX	Y	IPB_AUG25_SDGP_PATM	1	SDGP	Put	
-1		Y	EPC SD3E SEP24 CCAP	EPC SD3E SEP24 CCAP | 09 SEP 24 | C | E | 2644.4745000000	7b887c96-62b4-11e9-b160-4ad6f9df0bf5			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SD3E	Call	
-1		Y	OPT_SD3E JAN23 CATM - 4000	OPT_SD3E JAN23 CATM - 4000 | 27 JAN 23 | C | E | 1982.8200000000	bbadf55a-9e9d-11ea-a0a0-6b77645bee53			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SD3E	Call	
-1	OESX 202112 P 3200	Y	OESX 202112 P 3200	OESX 202112 P 3200 | 17 DEC 21 | P | E | 3200.0000000000	f448bf32-1f30-11e9-a2d0-b3645e528b7a	DE000P903FK6		Equities	Options	Put	0		2020-08-28	Put	Equities	Options		10	OPEICS	Y		1	SX5E	Put	
-1	OEDV 202312 P 1900	Y	OEDV 202312 P 1900	OEDV 202312 P 1900 | 15 DEC 23 | P | E | 1900.0000000000	ff76b74c-1f30-11e9-a2d0-b3645e528b7a	DE000C23RW53		Equities	Options	Put	0		2020-08-28	Put	Equities	Options		10	OPEICS	Y		1	SD3E	Put	
-1	HP ORD	Y	HP USD	HP USD	5af8149c-1f2e-11e9-a2d0-b3645e528b7a	US40434L1052	0C2815	Equities	Equities	Common/Ordinary shares	0		2020-08-28	Common/Ordinary shares	Equities	Equities		1	ESXXXX	N		1	HPQ	Equity share	
-1		Y	EP3 SXDP SEPT20 BDT CALL 144	EP3 SXDP SEPT20 BDT CALL 144 | 23 SEP 20 | C | E | 1066.7664000000	82307cce-62b4-11e9-b160-4ad6f9df0bf5			Equities	Options	Call	0		2020-08-28	Call	Equities	Options		1	OCEXCX	Y		1	SXDP	Call	
-1	OESX 202212 P 1500	Y	OESX 202212 P 1500	OESX 202212 P 1500 | 16 DEC 22 | P | E | 1500.0000000000	f448b492-1f30-11e9-a2d0-b3645e528b7a	DE000P1WE7T5		Equities	Options	Put	0		2020-08-28	Put	Equities	Options		10	OPEICS	Y		1	SX5E	Put	
-1		Y	SX7E JUL22 P75	SX7E JUL22 P75 | 07 SEP 20 | P | E | 96.4200000000	85987506-62b4-11e9-b160-4ad6f9df0bf5			Equities	Options	Put	0		2020-08-28	Put	Equities	Options		1	OPEXCX	Y		1	SX7E	Put	
-1	OESX 202012 C 3000	Y	OESX 202012 C 3000	OESX 202012 C 3000 | 18 DEC 20 | C | E | 3000.0000000000	f380b4ba-1f30-11e9-a2d0-b3645e528b7a	DE000C0YXBJ7		Equities	Options	Call	0		2020-08-28	Call	Equities	Options		10	OCEICS	Y		1	SX5E	Call	
