Bof_20200828
CURRENCY	INSTRUMENT_FE	INSTRUMENTID_FE	TBRICKS_INSTRUMENT_ID	MFAMILY	MGROUP	MTYPE	PL_KEY_FE	PORTFOLIOID	POSITIONID	POSPRICE	POSPRICE_BUY	POSPRICE_SELL	QUANTITY	QUANTITY_BUY	QUANTITY_LIVE	QUANTITY_SELL	REF_DATE	TYPOLOGY	INVESTED	POSITION_CASHFLOW_ID	MARKET_NAME	MIC_JOIN_MKT_ATTR
EUR	BAY	BAY	efa18f50-1f2a-11e9-a2d0-b3645e528b7a	Equities	Equities	Common/Ordinary shares	XETR	EQSSVOLOTC	EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | BAY | XETR | Xetra T7	72.81			15000	15000		0	2020-08-28		1092150	EQSSVOLOTC | BAY	Xetra T7	XETR
EUR	BPE	BPE	efa3b1d6-1f2a-11e9-a2d0-b3645e528b7a	Equities	Equities	Common/Ordinary shares	MTAA	EQSSVOLOTC	EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | BPE | MTAA | BIT MTA	4.4945			-1200000	0		1200000	2020-08-28		-5393400	EQSSVOLOTC | BPE	BIT MTA	MTAA
EUR	IRE	IRE	efa23e0a-1f2a-11e9-a2d0-b3645e528b7a	Equities	Equities	Common/Ordinary shares	MTAA	EQSSVOLOTC	EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | IRE | MTAA | BIT MTA	2.763			5200000	5200000		0	2020-08-28		14367600	EQSSVOLOTC | IRE	BIT MTA	MTAA
EUR	TRN	TRN	efa1a24c-1f2a-11e9-a2d0-b3645e528b7a	Equities	Equities	Common/Ordinary shares	MTAA	EQSSVOLOTC	EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | TRN | MTAA | BIT MTA	5.969			2360000	2360000		0	2020-08-28		14086840	EQSSVOLOTC | TRN	BIT MTA	MTAA
EUR	OPT_STXE OCT21 PATM - 3587	OPT_STXE OCT21 PATM - 3587 | 26 OCT 21 | P | E | 3418.2300000000	bb497bde-9e9d-11ea-a0a0-6b77645bee53	Equities	Options	Put	XXXX	EQ-INDEXVOL2	EQ-INDEXVOL2 | EUR | Equities | Options | Put | OPT_STXE OCT21 PATM - 3587 | 26 OCT 21 | P | E | 3418.2300000000 | XXXX | Internal	539.2763626059891			10196.210297	10882.8228		686.612503	2020-08-28		5498575.201331891	EQ-INDEXVOL2 | OPT_STXE OCT21 PATM - 3587 | 26 OCT 21 | P | E | 3418.2300000000	Internal	XXXX
EUR	I06350	I06350	b39a08d2-90e6-11ea-b430-b3e2b66d25c3	Equities	Rights	Warrants Call	SEDX	EQ-INDEXVOL2	EQ-INDEXVOL2 | EUR | Equities | Rights | Warrants Call | I06350 | SEDX | BIT SEDEX	0			0	517100		517100	2020-08-28		457.0499999999993	EQ-INDEXVOL2 | I06350	BIT SEDEX	SEDX
EUR	OPT_SD3E OCT24 CCAP - 4294	OPT_SD3E OCT24 CCAP - 4294 | 29 OCT 24 | C | E | 3962.3038000000	bbd30bce-9e9d-11ea-a0a0-6b77645bee53	Equities	Options	Call	XXXX	VOL_STCK_AA_PR	VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_SD3E OCT24 CCAP - 4294 | 29 OCT 24 | C | E | 3962.3038000000 | XXXX | Internal	0.030753237747458882			-63379.3637425	374.812464		63754.1762065	2020-08-28		-1949.1206414557778	VOL_STCK_AA_PR | OPT_SD3E OCT24 CCAP - 4294 | 29 OCT 24 | C | E | 3962.3038000000	Internal	XXXX
EUR	OPT_SD3E JAN23 C134 - 4000	OPT_SD3E JAN23 C134 - 4000 | 27 JAN 23 | C | E | 2656.9788000000	bbb0d068-9e9d-11ea-a0a0-6b77645bee53	Equities	Options	Call	XXXX	VOL_STCK_AA_PR	VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_SD3E JAN23 C134 - 4000 | 27 JAN 23 | C | E | 2656.9788000000 | XXXX | Internal	0.22595176639061987			-34154.876035999994	390.8573		34545.733336	2020-08-28		-7717.354571186851	VOL_STCK_AA_PR | OPT_SD3E JAN23 C134 - 4000 | 27 JAN 23 | C | E | 2656.9788000000	Internal	XXXX
EUR	OPT_SD3E NOV21 PATM - 4761	OPT_SD3E NOV21 PATM - 4761 | 09 NOV 21 | P | E | 1921.1400000000	bc1f9e9e-9e9d-11ea-a0a0-6b77645bee53	Equities	Options	Put	XXXX	VOL_STCK_AA_PR	VOL_STCK_AA_PR | EUR | Equities | Options | Put | OPT_SD3E NOV21 PATM - 4761 | 09 NOV 21 | P | E | 1921.1400000000 | XXXX | Internal	582.524528534			-4938.731712	0		4938.731712	2020-08-28		-2876932.3620887143	VOL_STCK_AA_PR | OPT_SD3E NOV21 PATM - 4761 | 09 NOV 21 | P | E | 1921.1400000000	Internal	XXXX
EUR	EP3 SD3E JUL24 BDT	EP3 SD3E JUL24 BDT	341f3396-1f2e-11e9-a2d0-b3645e528b7a	Equities	Miscellaneous	Combined Instruments	ETLX	VOL_STCK_AA_PR	VOL_STCK_AA_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SD3E JUL24 BDT | ETLX | EuroTLX Equities	949.5317021720575			-226782	1766		228548	2020-08-28		-215336698.48198354	VOL_STCK_AA_PR | EP3 SD3E JUL24 BDT	EuroTLX Equities	ETLX
