Bof_20200828
INSTRUMENTID_FE	TBRICKS_INSTRUMENT_ID	TBRICKS_INSTRUMENT_ID_COMPOSITE	POSITIONID	CURRENCY	RHO	NUMBER_OF_CONTRACTS	DELTA	GAMMA	DELTA_1_PERCENT	UP_DELTA_1_PERCENT	DOWN_DELTA_1_PERCENT	THETA	THEORETICAL_VALUE	VOLATILITY	DISCOUNT	VEGA	THEORETICAL_VALUE_OF_POSITION	INTERNAL_MODEL	RHO-1	REF_DATE	INSTRUMENTID_FE_COMPOSITE	GAMMA_1_PERCENT	VEGA_1_PERCENT
SD3E MAR25 CATM | 26 MAR 25 | C | E | 2006.9100000000	83590a30-62b4-11e9-b160-4ad6f9df0bf5	341ea1c4-1f2e-11e9-a2d0-b3645e528b7a	VOL_STCK_AA_SEC | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SD3E MAR25 BDT | ETLX | EuroTLX Equities	EUR	0	0	0	0	0			0	15.309758927426614	16.006817894189275	-0.36701952783164327	0	0	EUROPEAN_ESCROWED_DIVIDEND	0	2020-08-28	EP3 SD3E MAR25 BDT	0	0
EP CED SX5E FEB26 C100 BOND | 18 FEB 26 | C | E | 3270.5500000000	817e5cf6-62b4-11e9-b160-4ad6f9df0bf5	8a2e6eca-3aa2-11e9-a520-b0115fdb02cb	VOL_STOCK_IDX_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP CED SX5E FEB26 BDT | SEDX | BIT SEDEX	EUR	912397.7055721725	12675.850863	696.4474776945297	0.39374348002741455	230872.33885573657			300.4738666988093	458.4452614348047	18.288769655557456	0.9722629033968561	349683.6520828208	5811183.76279663	EUROPEAN_ESCROWED_DIVIDEND	-8783.774677176492	2020-08-28	EP CED SX5E FEB26 BDT	13.052596362908792	11592013.066545509
SX6E JUN22 P100 BOND | 28 JUN 22 | P | E | 250.2600000000	7d1b101e-62b4-11e9-b160-4ad6f9df0bf5	3410720c-1f2e-11e9-a2d0-b3645e528b7a	VOL_STOCK_IDX_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SX6E JUN22 BDT | ETLX | EuroTLX Equities	EUR	5725.457757002746	-5314.47252	16.150366523584267	-0.23496619500855292	2822.518805494205			137.2505274546932	9.768690305545654	23.66416861201424	0.37396141804167154	-5570.098767596461	-51915.436185212784	EUROPEAN_ESCROWED_DIVIDEND	-60.06561048566025	2020-08-28	EP3 SX6E JUN22 BDT	-0.8212773414133951	-19469.166222379914
FTMIB NOV24 C0 BOND | 06 NOV 24 | C | E | .0001000000	b23ec59a-7710-11e9-9400-98972329be46	b240bb66-7710-11e9-9400-98972329be46	VOL_STOCK_IDX_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP SD3E FEB23 FID BOND | SEDX | BIT SEDEX	EUR	-37937.96053505312	-893.3865389999999	-178.6773078	0	-177359.562654975			61.21762841002392	17893.168890779914	33.88911869634049	0.7643566495380415	0	-15985516.227076335	EUROPEAN_ESCROWED_DIVIDEND	384.72388991941506	2020-08-28	EP SD3E FEB23 FID BOND	0	0
SX5E FEB22 P100 BOND PKB | 14 FEB 22 | P | E | 3488.0800000000	7f325a92-62b4-11e9-b160-4ad6f9df0bf5	5e01593e-20c6-11e9-ae50-47deb3124dc8	EQ-INDEXVOL2 | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SX5E FEB22 PKB | ETLX | EuroTLX Equities	EUR	0	0	0	0	0			0	431.1427466349146	18.138438790033888	0.2054046530307818	0	0	EUROPEAN_ESCROWED_DIVIDEND	0	2020-08-28	EP3 SX5E FEB22 PKB	0	0
SX6E SEP22 C0 BOND | 12 SEP 22 | C | E | .0001000000	833bdfbe-62b4-11e9-b160-4ad6f9df0bf5	343f41e0-1f2e-11e9-a2d0-b3645e528b7a	VOL_STOCK_IDX_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SX6E SEP22 BDT | ETLX | EuroTLX Equities	EUR	-1630.7334591480637	-6880.917855	-135.6686929764542	0	-23710.13912803002			-45.45589708198758	324.10507315140075	35.34465658220661	0.43717497580141884	0	-2230140.3847435545	EUROPEAN_ESCROWED_DIVIDEND	16.423474731588136	2020-08-28	EP3 SX6E SEP22 BDT	0	0
EP CED DEC25 SX5E DEC25 CALL50 7Y | 23 DEC 25 | C | E | 1493.2650000000	7bb3e0b6-62b4-11e9-b160-4ad6f9df0bf5	34190f8e-1f2e-11e9-a2d0-b3645e528b7a	VOL_STOCK_IDX_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP CED SX5E DEC25 BDT | ETLX | EuroTLX Equities	EUR	-31825.13182255988	-468.578933888	-42.6589968611923	-0.0038217688328897924	-14141.457459485247			-156.075003665572	1571.1550623504208	28.903949461923634	-0.34319791866618654	-5207.8142605890425	-736210.1640888944	EUROPEAN_ESCROWED_DIVIDEND	321.27731774869346	2020-08-28	EP CED SX5E DEC25 BDT	-0.1266916368102966	-172639.04273852674
EP CED DEC25 SX5E DEC25 CALL50 7Y | 23 DEC 25 | C | E | 1493.2650000000	7bb3e0b6-62b4-11e9-b160-4ad6f9df0bf5	34190f8e-1f2e-11e9-a2d0-b3645e528b7a	VOL_STOCK_IDX_SEC | EUR | Equities | Miscellaneous | Combined Instruments | EP CED SX5E DEC25 BDT | ETLX | EuroTLX Equities	EUR	0	0	0	0	0			0	1571.1550623504208	28.903949461923634	-0.34319791866618654	0	0	EUROPEAN_ESCROWED_DIVIDEND	0	2020-08-28	EP CED SX5E DEC25 BDT	0	0
SD3E JUN19 BDT C66.66 2Y | 22 JUN 21 | C | E | 1277.9600000000	25ba3c30-9885-11e9-aad0-484e8dce6db3	0a62975c-9ee8-11e9-a820-613b1ee7f531	AA | EUR | Equities | Miscellaneous | Combined Instruments | I05427 | SEDX | BIT SEDEX	EUR	0	0	0	0	0			0	182.85763454428445	24.288377714218665	-0.3964262032322079	0	0	EUROPEAN_ESCROWED_DIVIDEND	0	2020-08-28	I05427	0	0
SPX FEB24 P100 BOND | 12 FEB 24 | P | E | 2745.7300000000	8245d060-62b4-11e9-b160-4ad6f9df0bf5	26fe2e54-39b6-11e9-aa00-490041a9bcec	EQ-INDEXVOL2 | USD | Equities | Miscellaneous | Combined Instruments | EP SPX FEB24 ISPB | ETLX | EuroTLX Equities	USD	0	0	0	0	0			0	238.03676345867427	24.759342195799192	1.4969538483915108	0	0	EUROPEAN_ESCROWED_DIVIDEND	0	2020-08-28	EP SPX FEB24 ISPB	0	0
SX5E FEB22 C0 BOND | 21 FEB 22 | C | E | .0001000000	7b761cfe-62b4-11e9-b160-4ad6f9df0bf5	3417df6a-1f2e-11e9-a2d0-b3645e528b7a	VOL_STOCK_IDX_SEC | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SX5E FEB22 BDT | ETLX | EuroTLX Equities	EUR	0	0	0	0	0			0	3232.3347324904366	56.07660504661291	0.21652916161498675	0	0	EUROPEAN_ESCROWED_DIVIDEND	0	2020-08-28	EP3 SX5E FEB22 BDT	0	0
EPC ENEL JULY22 CALL100 BOND | 07 JUL 22 | C | E | 4.8613000000	76f3b772-62b4-11e9-b160-4ad6f9df0bf5	ef99b33a-1f2e-11e9-a2d0-b3645e528b7a	VOL_STOCK_SS_PR | EUR | Equities | Miscellaneous | Combined Instruments | EPC ENEL JULY22 IPB | SEDX | BIT SEDEX	EUR	102996.08659807403	1408667.1552	1242163.1210891495	93274.24089814391	94950.9489760546			-1037.596903243743	2.612716397164926	30.382987270102024	0.384249997526112	27427.775154228213	3680447.77453871	EUROPEAN_ESCROWED_DIVIDEND	-1030.6343434045832	2020-08-28	EPC ENEL JULY22 IPB	7129.88297425412	2096.5791327892043
