Bof_20200828
INSTRUMENTID_FE	TBRICKS_INSTRUMENT_ID	TBRICKS_INSTRUMENT_ID_COMPOSITE	DEALID_FE	PORTFOLIOID_FE	CURRENCY	RHO	NUMBER_OF_CONTRACTS	DELTA	GAMMA	DELTA_1_PERCENT	UP_DELTA_1_PERCENT	DOWN_DELTA_1_PERCENT	THETA	THEORETICAL_VALUE	VOLATILITY	DISCOUNT	VEGA	THEORETICAL_VALUE_OF_DEAL	INTERNAL_MODEL	RHO-1	REF_DATE	INSTRUMENTID_FE_COMPOSITE	GAMMA_1_PERCENT	VEGA_1_PERCENT
CERT SD3E NOV25 BDT CALL50 4Y | 24 NOV 22 | C | E | 952.7500000000	81149d34-62b4-11e9-b160-4ad6f9df0bf5	34252d14-1f2e-11e9-a2d0-b3645e528b7a	317a1966-e954-11ea-a590-49499a438f10	AA	EUR	49809.10410599918	2934.153146925	249.25184250444175	0.12945101890521865	36163.94982896945			-291.73462917050153	427.2488639699865	26.408934540795887	-0.4412533345375132	13753.004234807211	1253613.598737667	EUROPEAN_ESCROWED_DIVIDEND	-497.35073659566604	2020-08-28	CERT SD3E NOV25 BDT	1.8782048332958174	199542.33844281783
CERT SD3E NOV25 BDT CALL50 6Y | 25 NOV 24 | C | E | 952.7500000000	8114db96-62b4-11e9-b160-4ad6f9df0bf5	34252d14-1f2e-11e9-a2d0-b3645e528b7a	317a1966-e954-11ea-a590-49499a438f10	AA	EUR	84961.56563614076	2934.153146925	225.73018060588083	0.15604982257275252	32751.19190410725			-197.06232555510752	354.24896509976975	22.247558956497308	-0.37719883496689716	22384.92360801608	1039420.7157424139	EUROPEAN_ESCROWED_DIVIDEND	-842.1704716071808	2020-08-28	CERT SD3E NOV25 BDT	2.264126875708066	324782.8566287053
CERT SD3E NOV25 BDT CALL0 BOND | 26 NOV 25 | C | E | .0000100000	8112bd52-62b4-11e9-b160-4ad6f9df0bf5	34252d14-1f2e-11e9-a2d0-b3645e528b7a	317a1966-e954-11ea-a590-49499a438f10	AA	EUR	343334.2899851598	53348.239035	5306.922183859329	0	769981.3396561501			-323.17440439075693	1184.6308167792615	39.12500934065934	0.942706053875013	0	63197967.981767334	EUROPEAN_ESCROWED_DIVIDEND	-3491.90389733353	2020-08-28	CERT SD3E NOV25 BDT	0	0
CERT SD3E NOV25 BDT CALL50 7Y | 26 NOV 25 | C | E | 952.7500000000	811508fa-62b4-11e9-b160-4ad6f9df0bf5	34252d14-1f2e-11e9-a2d0-b3645e528b7a	317a1966-e954-11ea-a590-49499a438f10	AA	EUR	99952.56360328099	2934.153146925	215.90736735119805	0.16447446813795036	31325.999928985326			-175.4597514450983	326.1879724758055	21.25633652290107	-0.3459921547599483	25667.882042774665	957085.46592897	EUROPEAN_ESCROWED_DIVIDEND	-986.0825889923882	2020-08-28	CERT SD3E NOV25 BDT	2.386360058213522	372415.30055861763
CERT SD3E NOV25 BDT CALL50 5Y | 24 NOV 23 | C | E | 952.7500000000	8114bd1e-62b4-11e9-b160-4ad6f9df0bf5	34252d14-1f2e-11e9-a2d0-b3645e528b7a	317a1966-e954-11ea-a590-49499a438f10	AA	EUR	67886.04421376434	2934.153146925	236.07845383732524	0.1435367013795255	34252.622867257516			-214.36250306900365	389.1566723249331	24.12321383684928	-0.4009956158967044	18537.785918469537	1141845.2747490634	EUROPEAN_ESCROWED_DIVIDEND	-675.6913252703085	2020-08-28	CERT SD3E NOV25 BDT	2.0825740003155357	268964.73589107447
CERT SD3E NOV25 BDT CALL50 3Y | 24 NOV 21 | C | E | 952.7500000000	81148182-62b4-11e9-b160-4ad6f9df0bf5	34252d14-1f2e-11e9-a2d0-b3645e528b7a	317a1966-e954-11ea-a590-49499a438f10	AA	EUR	29510.58315598801	2934.153146925	263.4739959324458	0.11069174180041302	38227.44206983856			-353.993258851085	460.13364954339	30.493211944739645	-0.4292754951050709	8091.047156147349	1350102.595813823	EUROPEAN_ESCROWED_DIVIDEND	-295.22975497002983	2020-08-28	CERT SD3E NOV25 BDT	1.6060264817821925	117393.00318854189
CERT SD3E NOV25 BDT CALL50 2Y | 24 NOV 20 | C | E | 952.7500000000	81144866-62b4-11e9-b160-4ad6f9df0bf5	34252d14-1f2e-11e9-a2d0-b3645e528b7a	317a1966-e954-11ea-a590-49499a438f10	AA	EUR	6397.681555485779	2934.153146925	287.7204842324404	0.04537096506494476	41745.36505728478			-307.86147257253253	492.1971622884204	42.969720292747546	-0.38638452783707605	983.8214541453077	1444181.8526361235	EUROPEAN_ESCROWED_DIVIDEND	-64.02644767493626	2020-08-28	CERT SD3E NOV25 BDT	0.6582873321272835	14274.26547819427
CERT SD3E NOV25 BDT PUT100 BOND | 26 NOV 25 | P | E | 1905.5000000000	8112eaca-62b4-11e9-b160-4ad6f9df0bf5	34252d14-1f2e-11e9-a2d0-b3645e528b7a	317a1966-e954-11ea-a590-49499a438f10	AA	EUR	-4711171.883858873	53348.239035	-4430.605523168566	3.008254256263612	-642836.5553565272			2105.607632895895	661.577574714726	16.080938332823646	0.942706053875013	359096.8176204464	35293998.59607677	EUROPEAN_ESCROWED_DIVIDEND	49109.88708845699	2020-08-28	CERT SD3E NOV25 BDT	43.64676100412875	5210135.726855056
CERT SD3E NOV25 BDT CALL100 BOND | 26 NOV 25 | C | E | 1905.5000000000	8112d3aa-62b4-11e9-b160-4ad6f9df0bf5	34252d14-1f2e-11e9-a2d0-b3645e528b7a	317a1966-e954-11ea-a590-49499a438f10	AA	EUR	-574952.0430627277	-53348.239035	-876.3166606907632	-3.008254256263612	-127144.78429962283			2601.596530743897	32.61444879685999	16.080938332823646	0.942706053875013	-359096.8176204464	-1739923.410409655	EUROPEAN_ESCROWED_DIVIDEND	5130.502474243611	2020-08-28	CERT SD3E NOV25 BDT	-43.64676100412875	-5210135.726855056
DDAXK MAY23 CALL0 BOND | 29 MAY 23 | C | E | .0001000000	7d2a353a-62b4-11e9-b160-4ad6f9df0bf5	341efa34-1f2e-11e9-a2d0-b3645e528b7a	317872b4-e954-11ea-a590-49499a438f10	AA	EUR	241433.60206709732	694688.969436	646879.5497214013	0	1026403.7815429475			7853.711822086659	126.48779997871765	36.213175195287604	0.44640273715014966	0	87869679.41344227	EUROPEAN_ESCROWED_DIVIDEND	-2439.40567698597	2020-08-28	EP3 DDAXK MAY23 BDT	0	0
