Bof_20200828
POSITIONID_FE	SETTLEMENTDATE	QUANTITY	AVERAGE_PRICE	REF_DATE	TBRICKS_INSTRUMENT_ID
EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | DEUTSCHE TELEKOM | XETR | Xetra T7	2020-08-28	50000	14.57	2020-08-28	ef9f4c36-1f2a-11e9-a2d0-b3645e528b7a
EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | TIT | MTAA | BIT MTA	2020-08-28	92200000	0.5568499999999998	2020-08-28	ef9e0240-1f2a-11e9-a2d0-b3645e528b7a
EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | HEIDELBERGCEMENT | XETR | Xetra T7	2020-08-28	200000	64.96	2020-08-28	ef9fb842-1f2a-11e9-a2d0-b3645e528b7a
EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | LDO | MTAA | BIT MTA	2020-08-28	90000	10.4975	2020-08-28	efa08e84-1f2a-11e9-a2d0-b3645e528b7a
EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | PST | MTAA | BIT MTA	2020-08-28	120000	10.15	2020-08-28	efa10eea-1f2a-11e9-a2d0-b3645e528b7a
EQ-INDEXVOL2 | EUR | Equities | Options | Call | MIBO0L20500 | 18 DEC 20 | C | E | 20500.0000000000 | XDMI | Borsa Italiana IDEM	2020-08-28	-22	1051.590909090909	2020-08-28	011f1f92-2554-11ea-af50-2dba816f6810
EQ-INDEXVOL2 | EUR | Equities | Options | Put | OESX 202212 P 3100 | 16 DEC 22 | P | E | 3100.0000000000 | XEUR | Eurex NTA	2020-08-28	2500	340.7835640592763	2020-08-28	f448801c-1f30-11e9-a2d0-b3645e528b7a
VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_SD3E NOV21 CATM - 3605 | 23 NOV 21 | C | E | 1937.7400000000 | XXXX | Internal	2020-08-31	-18.57834	0.7136296680000002	2020-08-28	4c5995da-b093-11ea-bdb0-f7127f36688c
VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_CERT SD3E NOV25 BDT CALL50 2Y - 4791 | 24 NOV 20 | C | E | 952.7500000000 | XXXX | Internal	2020-08-28	2328.21465877	462.9123754444013	2020-08-28	bc119092-9e9d-11ea-a0a0-6b77645bee53
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | THYSSENKRUPP | MTAH | BIT MTA	2020-09-01	-7167	5.803414538858657	2020-08-28	efa1f576-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | BAY | MTAH | BIT MTA	2020-09-01	-762	55.19	2020-08-28	efa18f50-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | AMD EUR | MTAH | BIT MTA	2020-08-28	14244	49.79309077506318	2020-08-28	efa2c19a-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | INFINEON | XETR | Xetra T7	2020-08-28	-5858	9.899353875042683	2020-08-28	efa38b8e-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | BAY | XETR | Xetra T7	2020-09-01	762	54.94711286089239	2020-08-28	efa18f50-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | SAINT-GOBAIN | XPAR | Euronext Optiq	2020-08-28	6529	22.749390105682306	2020-08-28	ef9d0638-1f2a-11e9-a2d0-b3645e528b7a
EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | MUNICH | XETR | Xetra T7	2020-08-28	100000	263	2020-08-28	efa3c4e6-1f2a-11e9-a2d0-b3645e528b7a
