Bof_20200828
INSTRUMENTID_FE	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	MARKET	RIC0	SYMBOL	SEDOL	MKT_SETTL_CONV	EXCHANGE_MARKET_CODE	FINAL_SETTLEMENT_DAYS	TBRICKS_INSTRUMENT_ID	MARKET_NAME	F_IS_PRIMARY
Cabot Microelectronics	2020-08-28	Common/Ordinary shares	Equities	Equities	XNGS	USD:OQ:4:US12709P1030	CCMP		2		2	62db6180-6df9-11ea-7dbc-54dd3fc35788	Virtu	N
Cabot Microelectronics	2020-08-28	Common/Ordinary shares	Equities	Equities	XNGS	CCMP.OQ	CCMP		2		2	62db6180-6df9-11ea-7dbc-54dd3fc35788	Reuters Elektron	Y
E.ON	2020-08-28	Common/Ordinary shares	Equities	Equities	MTAH	55655	EOA		2		2	efa2205a-1f2a-11e9-a2d0-b3645e528b7a	BIT MTA	N
E.ON	2020-08-28	Common/Ordinary shares	Equities	Equities	XETR	2504666	EOA		2		2	efa2205a-1f2a-11e9-a2d0-b3645e528b7a	Xetra T7	Y
E.ON	2020-08-28	Common/Ordinary shares	Equities	Equities	XLON	103478	EOA		2		2	efa2205a-1f2a-11e9-a2d0-b3645e528b7a	LSE Millennium	N
E.ON	2020-08-28	Common/Ordinary shares	Equities	Equities	XFRA	EONGn.F	EOA		2		2	efa2205a-1f2a-11e9-a2d0-b3645e528b7a	Reuters Elektron	N
E.ON	2020-08-28	Common/Ordinary shares	Equities	Equities	XXXX	20739	EOA		2		2	efa2205a-1f2a-11e9-a2d0-b3645e528b7a	Internal	N
E.ON	2020-08-28	Common/Ordinary shares	Equities	Equities	XXSC	DE000ENAG999	EOA		2		2	efa2205a-1f2a-11e9-a2d0-b3645e528b7a	Internal	N
E.ON	2020-08-28	Common/Ordinary shares	Equities	Equities	XZIM		EOA		2		2	efa2205a-1f2a-11e9-a2d0-b3645e528b7a	Proxy Structured	N
E.ON	2020-08-28	Common/Ordinary shares	Equities	Equities	PROS		EOA		2		2	efa2205a-1f2a-11e9-a2d0-b3645e528b7a	Proxy IMI	N
E.ON	2020-08-28	Common/Ordinary shares	Equities	Equities	ETLX	501049	EOA		2		2	efa2205a-1f2a-11e9-a2d0-b3645e528b7a	EuroTLX Equities	N
I06519	2020-08-28	Warrants Call	Equities	Rights	SEDX	864487	I06519		2		2	b3c296d0-90e6-11ea-b430-b3e2b66d25c3	BIT SEDEX	Y
OESX 202512 C 3200 | 19 DEC 25 | C | E | 3200.0000000000	2020-08-28	Call	Equities	Options	XEUR	1596371	OESX		2		2	f9531694-1f30-11e9-a2d0-b3645e528b7a	Eurex NTA	Y
AMERIPRISE FINCL	2020-08-28	Common/Ordinary shares	Equities	Equities	XNYS	USD:N:4:US03076C1062	AMP		2		2	5aa5b47c-1f2e-11e9-a2d0-b3645e528b7a	Virtu	N
AMERIPRISE FINCL	2020-08-28	Common/Ordinary shares	Equities	Equities	XLON	146319	AMP		2		2	5aa5b47c-1f2e-11e9-a2d0-b3645e528b7a	LSE Millennium	N
AMERIPRISE FINCL	2020-08-28	Common/Ordinary shares	Equities	Equities	XNYS	AMP.N	AMP		2		2	5aa5b47c-1f2e-11e9-a2d0-b3645e528b7a	Reuters Elektron	Y
EXO0X31 | 18 DEC 20 | P | A | 31.0000000000	2020-08-28	Put	Equities	Options	XDMI	zC:IXX4	EXO		1		2	46ab1904-69af-11ea-83d0-3892cbdc6f96	Borsa Italiana IDEM	Y
OPT_STXE OCT21 P92 - 3587 | 26 OCT 21 | P | E | 3144.7720000000	2020-08-28	Put	Equities	Options	XXXX	30678674	3587		2		5	bb4aaf04-9e9d-11ea-a0a0-6b77645bee53	Internal	Y
ALTEN	2020-08-28	Common/Ordinary shares	Equities	Equities	XPAR	1110428	ATE	B28F2D7	2		2	6e44f018-1f2b-11e9-a2d0-b3645e528b7a	Euronext Optiq	Y
ALTEN	2020-08-28	Common/Ordinary shares	Equities	Equities	XLON	113574	ATE	B28F2D7	2		2	6e44f018-1f2b-11e9-a2d0-b3645e528b7a	LSE Millennium	N
OPT_SD3E NOV26 CATM - 5332 | 18 NOV 26 | C | E | 2072.2600000000	2020-08-28	Call	Equities	Options	XXXX	30678879	5332		2		2	bc899e20-9e9d-11ea-a0a0-6b77645bee53	Internal	Y
FPE	2020-08-28	Common/Ordinary shares	Equities	Equities	XAIM	803129	FPE		2		2	efa1439c-1f2a-11e9-a2d0-b3645e528b7a	BIT MTA	Y
WELLS FARGO & CO	2020-08-28	Common/Ordinary shares	Equities	Equities	XNYS	USD:N:4:US9497461015	WFC		2		2	5a51a8c8-1f2e-11e9-a2d0-b3645e528b7a	Virtu	N
WELLS FARGO & CO	2020-08-28	Common/Ordinary shares	Equities	Equities	XLON	145841	WFC		2		2	5a51a8c8-1f2e-11e9-a2d0-b3645e528b7a	LSE Millennium	N
WELLS FARGO & CO	2020-08-28	Common/Ordinary shares	Equities	Equities	XNYS	WFC.N	WFC		2		2	5a51a8c8-1f2e-11e9-a2d0-b3645e528b7a	Reuters Elektron	Y
CNHI0I6.40 | 18 SEP 20 | C | A | 6.4000000000	2020-08-28	Call	Equities	Options	XDMI	t6:IYG3	CNHI		1		2	75a807e6-579c-11ea-9e80-7a2e2d6fbb3b	Borsa Italiana IDEM	Y
SX7E JUL22 P100 BOND | 07 SEP 20 | P | E | 128.5600000000	2020-08-28	Put	Equities	Options	XXXX	22603012			2		2	8597c372-62b4-11e9-b160-4ad6f9df0bf5	Internal	Y
