Bof_20200828
CURRENCY	DELIVERY_ENDDATE	DELIVERY_STARTDATE	DESCRIPTION	EXPIRY	EXPIRY_LABEL	F_CASH_DELIVERY	F_LISTED	INSTRUMENTID_FE	ISIN	LOTSIZE	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	UNDERLYINGID	DIV_FUTURE_TYPE	F_DIV_FUTURE	DIVIDENDID_FE	TBRICKS_INSTRUMENT_ID	TBRICKS_UNDERLYING_ID	TBRICKS_DIVIDEND_ID
EUR			FSTH 202009	2020-09-18	SEP 20	C		FSTH 202009 | SEP 20	DE000C4SA7S2	50	2020-08-28	Financial Futures	Equities	Futures	STXE 600 HECR PR		N	STXE 600 HECR PR	499a2436-254c-11ea-af50-2dba816f6810	7d17ee58-5151-11e9-b8d0-ec23cf8de3db	7d17ee58-5151-11e9-b8d0-ec23cf8de3db
EUR			FDIV 202009	2020-09-18	SEP 20	C		FDIV 202009 | SEP 20	DE000C4SA5X6	200	2020-08-28	Financial Futures	Equities	Futures	DIVDAX PR		N	DDAXK Spot	499795d6-254c-11ea-af50-2dba816f6810	7d16f886-5151-11e9-b8d0-ec23cf8de3db	87983700-838a-11e9-bb43-ebb3a6db3c87
EUR			FSTB 202009	2020-09-18	SEP 20	C		FSTB 202009 | SEP 20	DE000C4SA7L7	50	2020-08-28	Financial Futures	Equities	Futures	STXE 600 BNK PR		N	STXE 600 BNK PR	4999dff8-254c-11ea-af50-2dba816f6810	7d17c3a6-5151-11e9-b8d0-ec23cf8de3db	7d17c3a6-5151-11e9-b8d0-ec23cf8de3db
EUR			FIB0I	2020-09-18	SEP 20	C		FIB0I | SEP 20	IT0016088657	5	2020-08-28	Financial Futures	Equities	Futures	FIB0I | SEP 20		N	FIB0I | SEP 20	87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc	87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc	87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc
EUR			FSTA 202009	2020-09-18	SEP 20	C		FSTA 202009 | SEP 20	DE000C4SA7K9	50	2020-08-28	Financial Futures	Equities	Futures	STXE 600 A&PP		N	STXE 600 A&PP	4999d45e-254c-11ea-af50-2dba816f6810	7d17dfd0-5151-11e9-b8d0-ec23cf8de3db	7d17dfd0-5151-11e9-b8d0-ec23cf8de3db
EUR			FESB 202009	2020-09-18	SEP 20	C		FESB 202009 | SEP 20	DE000C4SA689	50	2020-08-28	Financial Futures	Equities	Futures	FESB 202009 | SEP 20		N	ESTX BNK PR	4997fdf0-254c-11ea-af50-2dba816f6810	4997fdf0-254c-11ea-af50-2dba816f6810	7d17bed8-5151-11e9-b8d0-ec23cf8de3db
EUR			FXXE 202009	2020-09-18	SEP 20	C		FXXE 202009 | SEP 20	DE000C4SA8E0	50	2020-08-28	Financial Futures	Equities	Futures	ESTX PR		N	ESTX PR	499adf34-254c-11ea-af50-2dba816f6810	7d39807c-5151-11e9-b8d0-ec23cf8de3db	7d39807c-5151-11e9-b8d0-ec23cf8de3db
EUR			FVS 202009	2020-09-16	SEP 20	C		FVS 202009 | SEP 20	DE000C432PW5	100	2020-08-28	Financial Futures	Equities	Futures	FVS 202009 | SEP 20		N	FVS 202009 | SEP 20	9cbeeb78-3da8-11ea-a6b0-c31b2947a591	9cbeeb78-3da8-11ea-a6b0-c31b2947a591	9cbeeb78-3da8-11ea-a6b0-c31b2947a591
EUR			FDAX 202009	2020-09-18	SEP 20	C		FDAX 202009 | SEP 20	DE000C4SA5W8	25	2020-08-28	Financial Futures	Equities	Futures	XETRA DAX PF		N	XETRA DAX PF	4997833e-254c-11ea-af50-2dba816f6810	7d11861c-5151-11e9-b8d0-ec23cf8de3db	7d11861c-5151-11e9-b8d0-ec23cf8de3db
EUR			FESA 202009	2020-09-18	SEP 20	C		FESA 202009 | SEP 20	DE000C4SA671	50	2020-08-28	Financial Futures	Equities	Futures	ESTX AU&PT PR		N	ESTX AU&PT PR	4997f09e-254c-11ea-af50-2dba816f6810	7d17db3e-5151-11e9-b8d0-ec23cf8de3db	7d17db3e-5151-11e9-b8d0-ec23cf8de3db
EUR			FSTT 202009	2020-09-18	SEP 20	C		FSTT 202009 | SEP 20	DE000C4SA804	50	2020-08-28	Financial Futures	Equities	Futures	STXE 600 TEL PR		N	STXE 600 TEL PR	499a7ea4-254c-11ea-af50-2dba816f6810	7d1827c4-5151-11e9-b8d0-ec23cf8de3db	7d1827c4-5151-11e9-b8d0-ec23cf8de3db
EUR			FEDV 202009	2020-09-18	SEP 20	C		FEDV 202009 | SEP 20	DE000C4SA630	10	2020-08-28	Financial Futures	Equities	Futures	ESTX SD 30 PR		N	ESTX SD 30 PR	4997cc72-254c-11ea-af50-2dba816f6810	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db
EUR			CAC40SEP0	2020-09-18	SEP 20	C		CAC40SEP0 | SEP 20	FRENX5790568	10	2020-08-28	Financial Futures	Equities	Futures	CAC 40 INDEX		N	CAC 40 INDEX	b2243eaa-ddc7-11e9-9eb0-e7766f5ef7bc	7d16e0ee-5151-11e9-b8d0-ec23cf8de3db	7d16e0ee-5151-11e9-b8d0-ec23cf8de3db
EUR			FESE 202009	2020-09-18	SEP 20	C		FESE 202009 | SEP 20	DE000C4SA6A2	50	2020-08-28	Financial Futures	Equities	Futures	ESTX OIL&G PR		N	ESTX OIL&G PR	4998174a-254c-11ea-af50-2dba816f6810	7d17f808-5151-11e9-b8d0-ec23cf8de3db	7d17f808-5151-11e9-b8d0-ec23cf8de3db
