Bof_20200828
ASK	BID	CAPITALFACTOR	CLEANPRICE	CLOSING_ASK	CLOSING_BID	CLOSING_MID	CLOSINGPRICE_DATE	CLOSINGPRICE_TIME	CURRENCY	DIRTYPRICE	F_QDIRTY	INSTRUMENT_FE	INSTRUMENTID_FE	MARKET	MID	PVBP	REALTIME_DATE	REALTIME_TIME	REF_DATE	ROUNDFIGURES	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	SETTLEMENT_DATE	TH_PRICE_FUT	VALUATION_MODE	ZSPREAD	TBRICKS_INSTRUMENT_ID	TH_PRICE
1.7	1.5			1.67	1.67	1.67	2020-08-28	17:15	USD			D Jan1 85.0 C	D Jan1 85.0 C | 15 JAN 21 | C | A | 85.0000000000	OPRA	1.6				2020-08-28		Call	Equities	Options		76.28867517560778	0		6ccad2e8-428e-11ea-89d0-6d19cd05d8c6	0.5207410141010792
8.66	5.95			10	10	10	2020-08-28	17:15	EUR			OEXD 202312 C 100	OEXD 202312 C 100 | 15 DEC 23 | C | E | 100.0000000000	XEUR	7.305				2020-08-28		Call	Equities	Options		89.30000000000001	0		f44998d0-1f30-11e9-a2d0-b3645e528b7a	7.765205413223703
13.865	13.855			14.045	14.045	14.045	2020-08-28	17:15	EUR			J MARTINS SGPS	J MARTINS SGPS	XLIS	13.86				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5aa264e8-1f2e-11e9-a2d0-b3645e528b7a	13.86
0.516	0.499			0.401	0.401	0.401	2020-08-28	17:15	EUR			ENI0U8.40	ENI0U8.40 | 18 SEP 20 | P | A | 8.4000000000	XDMI	0.5075000000000001				2020-08-28		Put	Equities	Options		7.9606797466094354	0		74bd6c54-579c-11ea-9e80-7a2e2d6fbb3b	0.5089838216853404
205.46	205.36			204.45	204.45	204.45	2020-08-28	17:15	USD			KLA TENCOR	KLA TENCOR	XNAS	205.41000000000003				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5acb2f5e-1f2e-11e9-a2d0-b3645e528b7a	205.41000000000003
245.75	245.5			252	252	252	2020-08-28	17:15	EUR			FACEBOOK EUR	FACEBOOK EUR	XETR	245.625				2020-08-28		Common/Ordinary shares	Equities	Equities			0		efa2ebd4-1f2a-11e9-a2d0-b3645e528b7a	245.60708549999998
1.1775	1.133			1.0615	1.0615	1.0615	2020-08-28	17:15	EUR			ENI1O8.60	ENI1O8.60 | 19 MAR 21 | P | A | 8.6000000000	XDMI	1.15525				2020-08-28		Put	Equities	Options		7.838884422265782	0		efb6e47a-6cd3-11ea-a480-53318575c5c6	1.1414953762854623
9.1	9.09			8.99	8.99	8.99	2020-08-28	17:15	USD			ZYNGA INC	ZYNGA INC	XNAS	9.094999999999999				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5ac56632-1f2e-11e9-a2d0-b3645e528b7a	9.094999999999999
0.3	0.25			0.25	0.25	0.25	2020-08-28	17:15	EUR			ROY 202212 C 22	ROY 202212 C 22 | 16 DEC 22 | C | A | 22.0000000000	XEUR	0.275				2020-08-28		Call	Equities	Options		11.235094584569573	0		facfcf6c-1f30-11e9-a2d0-b3645e528b7a	0.13634680796204945
14.62	14.615			14.645	14.645	14.645	2020-08-28	17:15	EUR			PEUGEOT	PEUGEOT	XPAR	14.6175				2020-08-28		Common/Ordinary shares	Equities	Equities			0		ef9fbbe4-1f2a-11e9-a2d0-b3645e528b7a	14.6175
3.802	3.4475000000000002			3.7195	3.7195	3.7195	2020-08-28	17:15	EUR			G2X15	G2X15 | 16 DEC 22 | P | A | 15.0000000000	XDMI	3.62475				2020-08-28		Put	Equities	Options		11.905210314484512	0		989677d2-494d-11e9-9970-3027219c6795	3.6264312625822632
167.91	167.72			166.56	166.56	166.56	2020-08-28	17:15	USD			SCOTTS MIRACLE	SCOTTS MIRACLE	XNYS	167.815				2020-08-28		Common/Ordinary shares	Equities	Equities			0		5a780400-1f2e-11e9-a2d0-b3645e528b7a	167.815
