Bof_20200828
AMERICAN_EUROPEAN	CURRENCY	DEALID_FE	DELIVERY_DATE	DESCRIPTION	EXERCISE_STYLE	EXPIRY	EXPIRY_LABEL	F_CALL_PUT	F_CASH_DELIVERY	F_QUANTO	FORWARD_START_DATE	FORWARD_START_STYLE	INSTRUMENTID_FE	LAST_TRADING_DATE	LOTSIZE	PORTFOLIOID	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	STARTDATE	STRIKE	TRADE_DATE	UNDERLYINGID	FORWARD_START_END_DATE	IS_FORWARD_START	QUANTO_CURR	NOMINAL	DIVIDENDID_FE	TBRICKS_INSTRUMENT_ID	TBRICKS_UNDERLYING_ID	TBRICKS_DIVIDEND_ID	INITIAL_PRICE	ISSUE_ID
M	EUR	-1		WARR SALCEF GROUP 2019-2023	M	2023-05-02	MAY 23	X	P			0	WSCF23		1		2020-08-28	Warrants	Equities	Rights		10.5		SCF		N			SCF	4b8fe69e-01f3-11ea-ade0-0187e19062a0	4b901380-01f3-11ea-ade0-0187e19062a0	4b901380-01f3-11ea-ade0-0187e19062a0	0	
E	EUR	-1		BI CW CALL ATLANTIA 16,5 E 071220	E	2020-12-07	DEC 20	C	C			0	I06380		0.1		2020-08-28	Warrants Call	Equities	Rights		16.5		ATL		N			ATL	b3d5347a-90e6-11ea-b430-b3e2b66d25c3	efa0e424-1f2a-11e9-a2d0-b3645e528b7a	efa0e424-1f2a-11e9-a2d0-b3645e528b7a	0	
A	EUR	-1		G0L19	A	2020-12-18	DEC 20	C	P			0	G0L19 | 18 DEC 20 | C | A | 19.0000000000		100		2020-08-28	Call	Equities	Options		19		G		N			G	4c4a1470-1f30-11e9-a2d0-b3645e528b7a	ef9f4880-1f2a-11e9-a2d0-b3645e528b7a	ef9f4880-1f2a-11e9-a2d0-b3645e528b7a	0	
A	EUR	-1		SPM0U1.80	A	2020-09-18	SEP 20	P	P			0	SPM0U1.80 | 18 SEP 20 | P | A | 1.8000000000		1000		2020-08-28	Put	Equities	Options		1.8		SPM		N			SPM	c98b2194-629c-11ea-b360-e4afb098eae1	efa1b1c4-1f2a-11e9-a2d0-b3645e528b7a	efa1b1c4-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1		BI CW CALL BANCA MEDIOLANUM 6,2 E 070920	E	2020-09-07	SEP 20	C	C			0	I06399		0.1		2020-08-28	Warrants Call	Equities	Rights		6.2		BMED		N			BMED	b39f3ff0-90e6-11ea-b430-b3e2b66d25c3	ef9fe1dc-1f2a-11e9-a2d0-b3645e528b7a	ef9fe1dc-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1		MIBO0I20500	E	2020-09-18	SEP 20	C	C			0	MIBO0I20500 | 18 SEP 20 | C | E | 20500.0000000000		2.5		2020-08-28	Call	Equities	Options		20500		FIB0I | SEP 20		N			FIB0I | SEP 20	88193f82-ddc9-11e9-9eb0-e7766f5ef7bc	87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc	87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc	0	
A	EUR	-1		ENEL0L9.50	A	2020-12-18	DEC 20	C	P			0	ENEL0L9.50 | 18 DEC 20 | C | A | 9.5000000000		500		2020-08-28	Call	Equities	Options		9.5		ENEL		N			ENEL	fb5dc5e4-3378-11ea-95c0-2960d205e8b1	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	0	
E	USD	-1			E	2024-05-29	MAY 24	C	C			0	SPX MAY24 CCAP | 29 MAY 24 | C | E | 4073.0490000000		1		2020-08-28	Call	Equities	Options		4073.0490000000004		EMINI S&P SEP0 | SEP 20		N			S&P 500 INDEX	3571e888-85a9-11e9-bc50-d8e42f759887	93b981ba-9645-11e9-a180-91725b79faed	7d11f02a-5151-11e9-b8d0-ec23cf8de3db	0	
A	USD	-1		QQQ Sep0 210.0 P	A	2020-09-18	SEP 20	P	P			0	QQQ Sep0 210.0 P | 18 SEP 20 | P | A | 210.0000000000		100		2020-08-28	Put	Equities	Options		210		INVSC QQQ S1		N			INVSC QQQ S1	d8e0075a-d9d9-11e9-9760-8a207b9aee4f	252155ea-514c-11e9-b8d0-ec23cf8de3db	252155ea-514c-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2023-03-01	MAR 23	P	C			0	SX5E MAR23 PATM | 01 MAR 23 | P | E | 3384.7100000000		1		2020-08-28	Put	Equities	Options		3384.71		FESX 202009 | SEP 20		N			ESTX 50 PR	7546a718-62b4-11e9-b160-4ad6f9df0bf5	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a	7d4bd0ec-5151-11e9-b8d0-ec23cf8de3db	0	
E	EUR	-1			E	2024-12-20	DEC 24	C	C			0	OTC SD3E C1850 DEC24 - STRUCT | 20 DEC 24 | C | E | 1850.0000000000		1		2020-08-28	Call	Equities	Options		1850		ESTX SD 30 PR		N			ESTX SD 30 PR	bd78fa66-7710-11e9-9400-98972329be46	7d175f42-5151-11e9-b8d0-ec23cf8de3db	7d175f42-5151-11e9-b8d0-ec23cf8de3db	0	
A	EUR	-1			A	2022-06-17	JUN 22	C	P			0	ENI F16 - INT DEAL - NEGR | 17 JUN 22 | C | A | 16.0000000000		1		2020-08-28	Call	Equities	Options		16		ENI		N			ENI	c0d685e8-7710-11e9-9400-98972329be46	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a	0	
A	EUR	-1		ENEL0X3.80	A	2020-12-18	DEC 20	P	P			0	ENEL0X3.80 | 18 DEC 20 | P | A | 3.8000000000		500		2020-08-28	Put	Equities	Options		3.8000000000000003		ENEL		N			ENEL	4d24357e-1f30-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a	0	
E	EUR	-1		MIBO1R21000	E	2021-06-18	JUN 21	P	C			0	MIBO1R21000 | 18 JUN 21 | P | E | 21000.0000000000		2.5		2020-08-28	Put	Equities	Options		21000		FIB0I | SEP 20		N			FTSE MIB	4cdc35c6-1f30-11e9-a2d0-b3645e528b7a	87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc	7d286b02-5151-11e9-b8d0-ec23cf8de3db	0	
A	EUR	-1		EXO0X37	A	2020-12-18	DEC 20	P	P			0	EXO0X37 | 18 DEC 20 | P | A | 37.0000000000		100		2020-08-28	Put	Equities	Options		37		EXO		N			EXO	48ac9842-64f8-11ea-8ed0-36b1606dc9af	efa4911e-1f2a-11e9-a2d0-b3645e528b7a	efa4911e-1f2a-11e9-a2d0-b3645e528b7a	0	
