Bof_20200828
ANALYTICDATE	CURRENCY	POSITIONID_FE	DELTA	GAMMA	LEG	PORTFOLIOID_FE	REF_DATE	RHO	THETA	VEGA	RHO-1	TBRICKS_INSTRUMENT_ID
2020-08-28	EUR	STAT_ARB | EUR | Equities | Futures | Financial Futures | FESX 202009 | SEP 20 | XEUR | Eurex NTA	0	0		STAT_ARB	2020-08-28	0	0		0	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | G X9.50 - OTC FERAK | 18 DEC 20 | P | E | 9.5000000000 | None | OTC Derivatives	-16914.458952294368	11222.967820024094		EQSSVOLOTC	2020-08-28	-5649.621243930092	-4618.655117285764	7384.402872673728	57.28169241292491	02e40dd0-a66c-11ea-bfc0-6c4e5cd63a78
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI F12 J22 - OTC - STRUTT | 17 JUN 22 | C | E | 12.0000000000 | XOFF | OTC Derivatives	2774.0562952690775	2366.5790961247876		EQSSVOLOTC	2020-08-28	4522.812771476786	-160.00240728286653	1505.6732029078912	-42.66029664348747	047b5660-b99d-11e9-9bc0-56cfe37b286e
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | ENI R12 J22 - OTC - STRUTT | 17 JUN 22 | P | E | 12.0000000000 | XOFF | OTC Derivatives	-37038.44370473092	2366.5790961247876		EQSSVOLOTC	2020-08-28	-106708.2984476131	-248.32853947831526	1505.6732029078912	1079.7360587257997	047b7078-b99d-11e9-9bc0-56cfe37b286e
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | PIRC I7.6778 Sep22 -OTC - ISP BtB | 26 SEP 22 | C | E | 7.6778000000 | XXXX | OTC Derivatives	4726.227248154954	9907.030811085857		EQSSVOLOTC	2020-08-28	9093.738218925384	-364.52507785706894	3916.553955660505	-84.22134038183573	0727534e-dadd-11e9-8910-ac2964590592
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | G X16 23 - INTRADESK STRUTTURATI | 15 DEC 23 | P | A | 16.0000000000 | None | OTC Derivatives	-42190.863383450094	3773.807730740111		EQSSVOLOTC	2020-08-28	-175631.52553034129	-328.25126316957665	4470.675159296889	1977.3176249913147	102ddd20-4f1b-11ea-9ee0-748ba21b7652
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | 1_SASY H91.497 - OTC EPSILON | 05 AUG 21 | C | E | 91.4970000000 | None | OTC Derivatives	-6499.457213051753	-419.51973019085597		EQSSVOLOTC	2020-08-28	-5503.650132406725	286.14713298743254	-1410.0904464345672	53.70249056896268	105273e4-d7c7-11ea-ad00-165624ea06d9
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | VO3 X140 Dec23 - OTC - STRUTT | 15 DEC 23 | P | A | 140.0000000000 | None | OTC Derivatives	-49060.1720382593	611.100770876074		EQSSVOLOTC	2020-08-28	-214631.81772178272	-1277.5767844409813	20257.2662962055	2398.375665496033	1986342c-0235-11ea-9370-47e68f91b29d
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | TIT X0.4 - OTC CARIMONTE | 18 DEC 20 | P | E | .4000000000 | None | OTC Derivatives	-3608.013997833506	34969.82452327908		EQSSVOLOTC	2020-08-28	-1316.0489948289	-455.3015569874752	719.6034543952965	13.247695555052008	1c2091fe-dc7e-11ea-a960-6e0f8172dac5
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | FCA X5 - OTC - STRUTT | 18 DEC 20 | P | A | 5.0000000000 | None | OTC Derivatives	1875.2534224075137	-1276.747706031282		EQSSVOLOTC	2020-08-28	631.0402086470209	951.6464085400424	-1532.0883317275664	-6.48722332916192	1f27af96-80c0-11ea-a510-0026eccf1891
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI I10 - OTC MODENAFONDAC | 18 SEP 20 | C | E | 10.0000000000 | None | OTC Derivatives	8.644605679470585	55.51930956541924		EQSSVOLOTC	2020-08-28	0.49532543597609335	-5.933783064778798	2.109137299866061	-0.00488013034115331	23bad1d6-b537-11ea-87b0-5d49e26b18bc
